Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.6199999999999999	0.595	0.64	0.625	0.625	0.625	0.64	0.6250000000000001	0.625	0.64	0.64	0.605	0.63	0.6199999999999999	0.62	0.635	0.625	0.635	0.61	0.595	0.64	
0.15000000000000002	0.62	0.595	0.6599999999999999	0.64	0.62	0.655	0.65	0.655	0.5800000000000001	0.6399999999999999	0.66	0.62	0.615	0.58	0.6699999999999999	0.6950000000000001	0.64	0.655	0.655	0.62	0.6399999999999999	
0.10000000000000002	0.525	0.61	0.655	0.65	0.6399999999999999	0.7049999999999998	0.5199999999999999	0.635	0.655	0.6799999999999999	0.65	0.61	0.665	0.68	0.665	0.6399999999999999	0.62	0.645	0.5900000000000001	0.65	0.6900000000000001	
0.05000000000000002	0.61	0.655	0.64	0.5700000000000001	0.605	0.56	0.6399999999999999	0.6300000000000001	0.675	0.635	0.62	0.6100000000000001	0.6050000000000001	0.6849999999999999	0.645	0.5800000000000001	0.635	0.6599999999999999	0.655	0.6599999999999999	0.6199999999999999	



Data Set	Hidden Size	Error Threshold	Accuracy0
2	29	0.15	67.5%
3	29	0.15	52.5%
4	29	0.15	60%
0	30	0.15	60%
1	30	0.15	70%
2	30	0.15	65%
3	30	0.15	62.5%
4	30	0.15	62.5%
0	10	0.1	50%
1	10	0.1	55%
2	10	0.1	42.5%
3	10	0.1	65%
4	10	0.1	50%
0	11	0.1	67.5%
1	11	0.1	60%
2	11	0.1	57.5%
3	11	0.1	60%
4	11	0.1	60%
0	12	0.1	67.5%
1	12	0.1	80%
2	12	0.1	60%
3	12	0.1	60%
4	12	0.1	60%
0	13	0.1	70%
1	13	0.1	75%
2	13	0.1	60%
3	13	0.1	62.5%
4	13	0.1	57.5%
0	14	0.1	60%
1	14	0.1	72.5%
2	14	0.1	57.5%
3	14	0.1	65%
4	14	0.1	65%
0	15	0.1	70%
1	15	0.1	77.5%
2	15	0.1	70%
3	15	0.1	67.5%
4	15	0.1	67.5%
0	16	0.1	60%
1	16	0.1	35%
2	16	0.1	50%
3	16	0.1	60%
4	16	0.1	55%
0	17	0.1	62.5%
1	17	0.1	67.5%
2	17	0.1	62.5%
3	17	0.1	67.5%
4	17	0.1	57.5%
0	18	0.1	67.5%
1	18	0.1	70%
2	18	0.1	62.5%
3	18	0.1	62.5%
4	18	0.1	65%
0	19	0.1	70%
1	19	0.1	75%
2	19	0.1	60%
3	19	0.1	67.5%
4	19	0.1	67.5%
0	20	0.1	67.5%
1	20	0.1	77.5%
2	20	0.1	57.5%
3	20	0.1	65%
4	20	0.1	57.5%
0	21	0.1	72.5%
1	21	0.1	70%
2	21	0.1	52.5%
3	21	0.1	62.5%
4	21	0.1	47.5%
0	22	0.1	55%
1	22	0.1	77.5%
2	22	0.1	70%
3	22	0.1	67.5%
4	22	0.1	62.5%
0	23	0.1	72.5%
1	23	0.1	77.5%
2	23	0.1	60%
3	23	0.1	72.5%
4	23	0.1	57.5%
0	24	0.1	62.5%
1	24	0.1	65%
2	24	0.1	62.5%
3	24	0.1	72.5%
4	24	0.1	70%
0	25	0.1	65%
1	25	0.1	67.5%
2	25	0.1	65%
3	25	0.1	70%
4	25	0.1	52.5%
0	26	0.1	60%
1	26	0.1	57.5%
2	26	0.1	65%
3	26	0.1	67.5%
4	26	0.1	60%
0	27	0.1	62.5%
1	27	0.1	70%
2	27	0.1	60%
3	27	0.1	70%
4	27	0.1	60%
0	28	0.1	55%
1	28	0.1	65%
2	28	0.1	60%
3	28	0.1	62.5%
4	28	0.1	52.5%
0	29	0.1	62.5%
1	29	0.1	70%
2	29	0.1	70%
3	29	0.1	60%
4	29	0.1	62.5%
0	30	0.1	70%
1	30	0.1	72.5%
2	30	0.1	72.5%
3	30	0.1	72.5%
4	30	0.1	57.5%
0	10	0.05	60%
1	10	0.05	67.5%
2	10	0.05	42.5%
3	10	0.05	72.5%
4	10	0.05	62.5%
0	11	0.05	67.5%
1	11	0.05	65%
2	11	0.05	70%
3	11	0.05	67.5%
4	11	0.05	57.5%
0	12	0.05	62.5%
1	12	0.05	60%
2	12	0.05	55%
3	12	0.05	70%
4	12	0.05	72.5%
0	13	0.05	67.5%
1	13	0.05	60%
2	13	0.05	42.5%
3	13	0.05	55%
4	13	0.05	60%
0	14	0.05	50%
1	14	0.05	70%
2	14	0.05	60%
3	14	0.05	60%
4	14	0.05	62.5%
0	15	0.05	60%
1	15	0.05	35%
2	15	0.05	55%
3	15	0.05	70%
4	15	0.05	60%
0	16	0.05	65%
1	16	0.05	65%
2	16	0.05	57.5%
3	16	0.05	67.5%
4	16	0.05	65%
0	17	0.05	67.5%
1	17	0.05	62.5%
2	17	0.05	70%
3	17	0.05	60%
4	17	0.05	55%
0	18	0.05	60%
1	18	0.05	77.5%
2	18	0.05	65%
3	18	0.05	65%
4	18	0.05	70%
0	19	0.05	67.5%
1	19	0.05	67.5%
2	19	0.05	55%
3	19	0.05	72.5%
4	19	0.05	55%
0	20	0.05	52.5%
1	20	0.05	67.5%
2	20	0.05	62.5%
3	20	0.05	65%
4	20	0.05	62.5%
0	21	0.05	62.5%
1	21	0.05	60%
2	21	0.05	67.5%
3	21	0.05	62.5%
4	21	0.05	52.5%
0	22	0.05	62.5%
1	22	0.05	70%
2	22	0.05	55%
3	22	0.05	57.5%
4	22	0.05	57.5%
0	23	0.05	67.5%
1	23	0.05	82.5%
2	23	0.05	65%
3	23	0.05	65%
4	23	0.05	62.5%
0	24	0.05	65%
1	24	0.05	72.5%
2	24	0.05	57.5%
3	24	0.05	67.5%
4	24	0.05	60%
0	25	0.05	50%
1	25	0.05	70%
2	25	0.05	57.5%
3	25	0.05	55%
4	25	0.05	57.5%
0	26	0.05	55%
1	26	0.05	75%
2	26	0.05	65%
3	26	0.05	65%
4	26	0.05	57.5%
