Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.5950035186488388	0.6048557353976073	0.6094299788881069	0.6001055594651655	0.6548205489092188	0.5950035186488388	0.6101337086558761	0.5701970443349754	0.6196340605207601	0.5842716396903589	0.6196340605207601	0.6147079521463757	0.58972554539057	0.6148838845883181	0.6245601688951442	0.6194581280788177	0.5899014778325123	0.6094299788881069	0.624384236453202	0.5948275862068966	0.6192821956368755	
0.15000000000000002	0.6454961294862772	0.6648486980999296	0.6551724137931034	0.6754046446164672	0.6498944405348347	0.6595707248416608	0.5907811400422238	0.6145320197044335	0.6453201970443351	0.6301900070372977	0.6449683321604505	0.6750527797325826	0.6801548205489093	0.6652005629838144	0.6453201970443351	0.6249120337790288	0.6548205489092188	0.6342364532019704	0.6546446164672765	0.6599225897255454	0.6600985221674877	
0.10000000000000002	0.6898311048557354	0.6447923997185081	0.6402181562280084	0.5957072484166082	0.6249120337790288	0.644792399718508	0.6293103448275862	0.6351161154116819	0.5798733286418016	0.6344123856439127	0.6495425756509501	0.594475721323012	0.6096059113300492	0.6644968332160451	0.6196340605207601	0.6444405348346234	0.7102392681210414	0.6296622097114708	0.6641449683321604	0.5844475721323013	0.6391625615763548	
0.05000000000000002	0.6192821956368755	0.6546446164672766	0.5796973961998593	0.6298381421534132	0.6097818437719915	0.6549964813511612	0.6147079521463757	0.7098874032371569	0.6644968332160451	0.6599225897255454	0.6548205489092188	0.6595707248416608	0.6451442646023927	0.5946516537649542	0.6001055594651653	0.6097818437719916	0.6451442646023927	0.5995777621393384	0.6101337086558762	0.5904292751583391	0.6252638986629134	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	62.07%
1	10	0.2	55.17%
2	10	0.2	65.52%
3	10	0.2	55.17%
4	10	0.2	67.86%
5	10	0.2	57.14%
6	10	0.2	53.57%
0	11	0.2	62.07%
1	11	0.2	58.62%
2	11	0.2	65.52%
3	11	0.2	58.62%
4	11	0.2	75%
5	11	0.2	60.71%
6	11	0.2	42.86%
0	12	0.2	62.07%
1	12	0.2	58.62%
2	12	0.2	72.41%
3	12	0.2	62.07%
4	12	0.2	75%
5	12	0.2	50%
6	12	0.2	46.43%
0	13	0.2	62.07%
1	13	0.2	51.72%
2	13	0.2	68.97%
3	13	0.2	55.17%
4	13	0.2	71.43%
5	13	0.2	60.71%
6	13	0.2	50%
0	14	0.2	72.41%
1	14	0.2	65.52%
2	14	0.2	65.52%
3	14	0.2	62.07%
4	14	0.2	75%
5	14	0.2	67.86%
6	14	0.2	50%
0	15	0.2	62.07%
1	15	0.2	58.62%
2	15	0.2	65.52%
3	15	0.2	51.72%
4	15	0.2	71.43%
5	15	0.2	60.71%
6	15	0.2	46.43%
0	16	0.2	65.52%
1	16	0.2	62.07%
2	16	0.2	62.07%
3	16	0.2	51.72%
4	16	0.2	75%
5	16	0.2	64.29%
6	16	0.2	46.43%
0	17	0.2	65.52%
1	17	0.2	55.17%
2	17	0.2	51.72%
3	17	0.2	51.72%
4	17	0.2	67.86%
5	17	0.2	60.71%
6	17	0.2	46.43%
0	18	0.2	68.97%
1	18	0.2	55.17%
2	18	0.2	68.97%
3	18	0.2	62.07%
4	18	0.2	71.43%
5	18	0.2	64.29%
6	18	0.2	42.86%
0	19	0.2	62.07%
1	19	0.2	58.62%
2	19	0.2	72.41%
3	19	0.2	55.17%
4	19	0.2	67.86%
5	19	0.2	50%
6	19	0.2	42.86%
0	20	0.2	75.86%
1	20	0.2	62.07%
2	20	0.2	55.17%
3	20	0.2	62.07%
4	20	0.2	67.86%
5	20	0.2	64.29%
6	20	0.2	46.43%
0	21	0.2	68.97%
1	21	0.2	58.62%
2	21	0.2	65.52%
3	21	0.2	58.62%
4	21	0.2	67.86%
5	21	0.2	64.29%
6	21	0.2	46.43%
0	22	0.2	72.41%
1	22	0.2	58.62%
2	22	0.2	55.17%
3	22	0.2	55.17%
4	22	0.2	67.86%
5	22	0.2	60.71%
6	22	0.2	42.86%
0	23	0.2	72.41%
1	23	0.2	55.17%
2	23	0.2	65.52%
3	23	0.2	55.17%
4	23	0.2	75%
5	23	0.2	60.71%
6	23	0.2	46.43%
0	24	0.2	68.97%
1	24	0.2	62.07%
2	24	0.2	65.52%
3	24	0.2	62.07%
4	24	0.2	67.86%
5	24	0.2	64.29%
6	24	0.2	46.43%
0	25	0.2	65.52%
1	25	0.2	62.07%
2	25	0.2	72.41%
3	25	0.2	58.62%
4	25	0.2	75%
5	25	0.2	57.14%
6	25	0.2	42.86%
0	26	0.2	68.97%
1	26	0.2	55.17%
2	26	0.2	62.07%
3	26	0.2	51.72%
4	26	0.2	71.43%
5	26	0.2	60.71%
6	26	0.2	42.86%
0	27	0.2	68.97%
1	27	0.2	62.07%
2	27	0.2	62.07%
3	27	0.2	62.07%
4	27	0.2	67.86%
5	27	0.2	57.14%
6	27	0.2	46.43%
0	28	0.2	72.41%
1	28	0.2	58.62%
2	28	0.2	65.52%
3	28	0.2	65.52%
4	28	0.2	71.43%
5	28	0.2	60.71%
6	28	0.2	42.86%
0	29	0.2	62.07%
1	29	0.2	55.17%
2	29	0.2	65.52%
3	29	0.2	58.62%
4	29	0.2	71.43%
5	29	0.2	60.71%
6	29	0.2	42.86%
0	30	0.2	68.97%
1	30	0.2	58.62%
2	30	0.2	68.97%
3	30	0.2	65.52%
4	30	0.2	71.43%
5	30	0.2	57.14%
6	30	0.2	42.86%
0	10	0.15	72.41%
1	10	0.15	68.97%
2	10	0.15	68.97%
3	10	0.15	37.93%
4	10	0.15	75%
5	10	0.15	67.86%
6	10	0.15	60.71%
0	11	0.15	72.41%
1	11	0.15	65.52%
2	11	0.15	68.97%
3	11	0.15	62.07%
4	11	0.15	64.29%
5	11	0.15	78.57%
6	11	0.15	53.57%
0	12	0.15	58.62%
1	12	0.15	62.07%
2	12	0.15	72.41%
3	12	0.15	65.52%
4	12	0.15	71.43%
5	12	0.15	67.86%
6	12	0.15	60.71%
0	13	0.15	68.97%
1	13	0.15	65.52%
2	13	0.15	65.52%
3	13	0.15	62.07%
4	13	0.15	67.86%
5	13	0.15	82.14%
6	13	0.15	60.71%
0	14	0.15	58.62%
1	14	0.15	65.52%
2	14	0.15	72.41%
3	14	0.15	65.52%
4	14	0.15	71.43%
5	14	0.15	64.29%
6	14	0.15	57.14%
0	15	0.15	75.86%
1	15	0.15	58.62%
2	15	0.15	68.97%
3	15	0.15	68.97%
4	15	0.15	67.86%
5	15	0.15	57.14%
6	15	0.15	64.29%
0	16	0.15	51.72%
1	16	0.15	41.38%
2	16	0.15	65.52%
3	16	0.15	62.07%
4	16	0.15	71.43%
5	16	0.15	67.86%
6	16	0.15	53.57%
0	17	0.15	55.17%
1	17	0.15	62.07%
2	17	0.15	68.97%
3	17	0.15	68.97%
4	17	0.15	60.71%
5	17	0.15	57.14%
6	17	0.15	57.14%
0	18	0.15	58.62%
1	18	0.15	55.17%
2	18	0.15	75.86%
3	18	0.15	62.07%
4	18	0.15	75%
5	18	0.15	75%
6	18	0.15	50%
0	19	0.15	55.17%
1	19	0.15	58.62%
2	19	0.15	72.41%
3	19	0.15	62.07%
4	19	0.15	75%
5	19	0.15	53.57%
6	19	0.15	64.29%
0	20	0.15	72.41%
1	20	0.15	58.62%
2	20	0.15	65.52%
3	20	0.15	62.07%
4	20	0.15	67.86%
5	20	0.15	64.29%
6	20	0.15	60.71%
0	21	0.15	62.07%
1	21	0.15	51.72%
2	21	0.15	79.31%
3	21	0.15	75.86%
4	21	0.15	75%
5	21	0.15	67.86%
6	21	0.15	60.71%
0	22	0.15	62.07%
1	22	0.15	58.62%
2	22	0.15	72.41%
3	22	0.15	75.86%
4	22	0.15	71.43%
5	22	0.15	71.43%
6	22	0.15	64.29%
0	23	0.15	68.97%
1	23	0.15	58.62%
2	23	0.15	75.86%
3	23	0.15	58.62%
4	23	0.15	67.86%
5	23	0.15	71.43%
6	23	0.15	64.29%
0	24	0.15	72.41%
1	24	0.15	58.62%
2	24	0.15	55.17%
3	24	0.15	65.52%
4	24	0.15	64.29%
5	24	0.15	71.43%
6	24	0.15	64.29%
0	25	0.15	62.07%
1	25	0.15	62.07%
2	25	0.15	65.52%
3	25	0.15	62.07%
4	25	0.15	67.86%
5	25	0.15	60.71%
6	25	0.15	57.14%
0	26	0.15	68.97%
1	26	0.15	62.07%
2	26	0.15	62.07%
3	26	0.15	72.41%
4	26	0.15	67.86%
5	26	0.15	67.86%
6	26	0.15	57.14%
0	27	0.15	72.41%
1	27	0.15	55.17%
2	27	0.15	68.97%
3	27	0.15	72.41%
4	27	0.15	67.86%
5	27	0.15	57.14%
6	27	0.15	50%
0	28	0.15	75.86%
1	28	0.15	58.62%
2	28	0.15	68.97%
3	28	0.15	65.52%
4	28	0.15	57.14%
5	28	0.15	71.43%
6	28	0.15	60.71%
0	29	0.15	68.97%
1	29	0.15	62.07%
2	29	0.15	68.97%
3	29	0.15	65.52%
4	29	0.15	75%
5	29	0.15	71.43%
6	29	0.15	50%
0	30	0.15	65.52%
1	30	0.15	51.72%
2	30	0.15	75.86%
3	30	0.15	68.97%
4	30	0.15	71.43%
5	30	0.15	71.43%
6	30	0.15	57.14%
0	10	0.1	68.97%
1	10	0.1	62.07%
2	10	0.1	72.41%
3	10	0.1	75.86%
