Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.6500000000000001	0.73	0.69	0.82	0.825	0.48999999999999994	
0.15000000000000002	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.755	0.75	0.825	0.8049999999999999	0.74	
0.10000000000000002	0.775	0.7899999999999999	0.7899999999999999	0.8099999999999998	0.7799999999999998	0.7999999999999999	0.77	0.7899999999999999	0.8099999999999998	0.8149999999999998	0.8249999999999998	0.7949999999999999	0.7899999999999998	0.8049999999999998	0.7999999999999998	0.8149999999999998	0.76	0.7899999999999999	0.7999999999999999	0.8099999999999999	0.7749999999999999	
0.05000000000000002	0.7699999999999999	0.7699999999999999	0.765	0.7949999999999999	0.7499999999999999	0.765	0.77	0.7499999999999999	0.7499999999999999	0.77	0.755	0.73	0.74	0.74	0.7699999999999999	0.76	0.7	0.7550000000000001	0.72	0.8049999999999999	0.73	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	88%
1	10	0.2	92%
2	10	0.2	88%
3	10	0.2	84%
4	10	0.2	64%
5	10	0.2	76%
6	10	0.2	84%
7	10	0.2	84%
0	11	0.2	88%
1	11	0.2	92%
2	11	0.2	88%
3	11	0.2	84%
4	11	0.2	64%
5	11	0.2	76%
6	11	0.2	84%
7	11	0.2	84%
0	12	0.2	88%
1	12	0.2	92%
2	12	0.2	88%
3	12	0.2	84%
4	12	0.2	64%
5	12	0.2	76%
6	12	0.2	84%
7	12	0.2	84%
0	13	0.2	88%
1	13	0.2	92%
2	13	0.2	88%
3	13	0.2	84%
4	13	0.2	64%
5	13	0.2	76%
6	13	0.2	84%
7	13	0.2	84%
0	14	0.2	88%
1	14	0.2	92%
2	14	0.2	88%
3	14	0.2	84%
4	14	0.2	64%
5	14	0.2	76%
6	14	0.2	84%
7	14	0.2	84%
0	15	0.2	88%
1	15	0.2	92%
2	15	0.2	88%
3	15	0.2	84%
4	15	0.2	64%
5	15	0.2	76%
6	15	0.2	84%
7	15	0.2	84%
0	16	0.2	88%
1	16	0.2	92%
2	16	0.2	88%
3	16	0.2	84%
4	16	0.2	64%
5	16	0.2	76%
6	16	0.2	84%
7	16	0.2	84%
0	17	0.2	88%
1	17	0.2	92%
2	17	0.2	88%
3	17	0.2	84%
4	17	0.2	64%
5	17	0.2	76%
6	17	0.2	84%
7	17	0.2	84%
0	18	0.2	88%
1	18	0.2	92%
2	18	0.2	88%
3	18	0.2	84%
4	18	0.2	64%
5	18	0.2	76%
6	18	0.2	84%
7	18	0.2	84%
0	19	0.2	88%
1	19	0.2	92%
2	19	0.2	88%
3	19	0.2	84%
4	19	0.2	64%
5	19	0.2	76%
6	19	0.2	84%
7	19	0.2	84%
0	20	0.2	88%
1	20	0.2	92%
2	20	0.2	88%
3	20	0.2	84%
4	20	0.2	64%
5	20	0.2	76%
6	20	0.2	84%
7	20	0.2	84%
0	21	0.2	88%
1	21	0.2	92%
2	21	0.2	88%
3	21	0.2	84%
4	21	0.2	64%
5	21	0.2	76%
6	21	0.2	84%
7	21	0.2	84%
0	22	0.2	88%
1	22	0.2	92%
2	22	0.2	88%
3	22	0.2	84%
4	22	0.2	64%
5	22	0.2	76%
6	22	0.2	84%
7	22	0.2	84%
0	23	0.2	88%
1	23	0.2	92%
2	23	0.2	88%
3	23	0.2	84%
4	23	0.2	64%
5	23	0.2	76%
6	23	0.2	84%
7	23	0.2	84%
0	24	0.2	88%
1	24	0.2	92%
2	24	0.2	88%
3	24	0.2	84%
4	24	0.2	64%
5	24	0.2	76%
6	24	0.2	84%
7	24	0.2	84%
0	25	0.2	88%
1	25	0.2	92%
2	25	0.2	88%
3	25	0.2	60%
4	25	0.2	64%
5	25	0.2	76%
6	25	0.2	20%
7	25	0.2	32%
0	26	0.2	24%
1	26	0.2	92%
2	26	0.2	88%
3	26	0.2	72%
4	26	0.2	64%
5	26	0.2	76%
6	26	0.2	84%
7	26	0.2	84%
0	27	0.2	44%
1	27	0.2	92%
2	27	0.2	24%
3	27	0.2	84%
4	27	0.2	64%
5	27	0.2	76%
6	27	0.2	84%
7	27	0.2	84%
0	28	0.2	88%
1	28	0.2	84%
2	28	0.2	88%
3	28	0.2	84%
4	28	0.2	68%
5	28	0.2	76%
6	28	0.2	84%
7	28	0.2	84%
0	29	0.2	88%
1	29	0.2	92%
2	29	0.2	88%
3	29	0.2	84%
4	29	0.2	64%
5	29	0.2	76%
6	29	0.2	84%
7	29	0.2	84%
0	30	0.2	12%
1	30	0.2	92%
2	30	0.2	12%
3	30	0.2	16%
4	30	0.2	64%
5	30	0.2	76%
6	30	0.2	84%
7	30	0.2	36%
0	10	0.15	88%
1	10	0.15	92%
2	10	0.15	88%
3	10	0.15	84%
4	10	0.15	64%
5	10	0.15	76%
6	10	0.15	84%
7	10	0.15	84%
0	11	0.15	88%
1	11	0.15	92%
2	11	0.15	88%
3	11	0.15	84%
4	11	0.15	64%
5	11	0.15	76%
6	11	0.15	84%
7	11	0.15	84%
0	12	0.15	88%
1	12	0.15	92%
2	12	0.15	88%
3	12	0.15	84%
4	12	0.15	64%
5	12	0.15	76%
6	12	0.15	84%
7	12	0.15	84%
0	13	0.15	88%
1	13	0.15	92%
2	13	0.15	88%
3	13	0.15	84%
4	13	0.15	64%
5	13	0.15	76%
6	13	0.15	84%
7	13	0.15	84%
0	14	0.15	88%
1	14	0.15	92%
2	14	0.15	88%
3	14	0.15	84%
4	14	0.15	64%
5	14	0.15	76%
6	14	0.15	84%
7	14	0.15	84%
0	15	0.15	88%
1	15	0.15	92%
2	15	0.15	88%
3	15	0.15	84%
4	15	0.15	64%
5	15	0.15	76%
6	15	0.15	84%
7	15	0.15	84%
0	16	0.15	88%
1	16	0.15	92%
2	16	0.15	88%
3	16	0.15	84%
4	16	0.15	64%
5	16	0.15	76%
6	16	0.15	84%
7	16	0.15	84%
0	17	0.15	88%
1	17	0.15	92%
2	17	0.15	88%
3	17	0.15	84%
4	17	0.15	64%
5	17	0.15	76%
6	17	0.15	84%
7	17	0.15	84%
0	18	0.15	88%
1	18	0.15	92%
2	18	0.15	88%
3	18	0.15	84%
4	18	0.15	64%
5	18	0.15	76%
6	18	0.15	84%
7	18	0.15	84%
0	19	0.15	88%
1	19	0.15	92%
2	19	0.15	88%
3	19	0.15	84%
4	19	0.15	64%
5	19	0.15	76%
6	19	0.15	84%
7	19	0.15	84%
0	20	0.15	88%
1	20	0.15	92%
2	20	0.15	88%
3	20	0.15	84%
4	20	0.15	64%
5	20	0.15	76%
6	20	0.15	84%
7	20	0.15	84%
0	21	0.15	88%
1	21	0.15	92%
2	21	0.15	88%
3	21	0.15	84%
4	21	0.15	64%
5	21	0.15	76%
6	21	0.15	84%
7	21	0.15	84%
0	22	0.15	88%
1	22	0.15	92%
2	22	0.15	88%
3	22	0.15	84%
4	22	0.15	64%
5	22	0.15	76%
6	22	0.15	84%
7	22	0.15	84%
0	23	0.15	88%
1	23	0.15	92%
2	23	0.15	88%
3	23	0.15	84%
4	23	0.15	64%
5	23	0.15	76%
6	23	0.15	84%
7	23	0.15	84%
0	24	0.15	88%
1	24	0.15	92%
2	24	0.15	88%
3	24	0.15	84%
4	24	0.15	64%
5	24	0.15	76%
6	24	0.15	84%
7	24	0.15	84%
0	25	0.15	88%
1	25	0.15	92%
2	25	0.15	88%
3	25	0.15	84%
4	25	0.15	64%
5	25	0.15	76%
6	25	0.15	84%
7	25	0.15	84%
0	26	0.15	88%
1	26	0.15	92%
2	26	0.15	88%
3	26	0.15	84%
4	26	0.15	64%
5	26	0.15	76%
6	26	0.15	28%
7	26	0.15	84%
0	27	0.15	88%
1	27	0.15	92%
2	27	0.15	88%
3	27	0.15	84%
4	27	0.15	68%
5	27	0.15	76%
6	27	0.15	84%
7	27	0.15	20%
0	28	0.15	88%
1	28	0.15	92%
2	28	0.15	88%
3	28	0.15	84%
4	28	0.15	64%
5	28	0.15	76%
6	28	0.15	84%
7	28	0.15	84%
0	29	0.15	88%
1	29	0.15	92%
2	29	0.15	88%
3	29	0.15	68%
4	29	0.15	64%
5	29	0.15	76%
6	29	0.15	84%
7	29	0.15	84%
0	30	0.15	88%
1	30	0.15	92%
2	30	0.15	88%
3	30	0.15	16%
4	30	0.15	64%
5	30	0.15	76%
6	30	0.15	84%
7	30	0.15	84%
0	10	0.1	80%
1	10	0.1	88%
2	10	0.1	76%
3	10	0.1	76%
