Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8205972771190163	0.8256477821695213	0.8155467720685112	0.8256477821695213	0.8256477821695213	0.7918313570487485	0.6034255599472992	0.7347386912604303	0.7758014931927976	0.6791831357048748	
0.15000000000000002	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.7801932367149759	0.8256477821695213	0.8256477821695213	0.8256477821695213	0.785243741765481	0.6842336407553797	0.7902942468159859	
0.10000000000000002	0.7955643390425998	0.800614844093105	0.8003952569169961	0.7705314009661836	0.7953447518664911	0.80566534914361	0.7496706192358366	0.7859025032938076	0.7806324110671938	0.790294246815986	0.8006148440931048	0.785243741765481	0.7907334211682039	0.7955643390425999	0.7852437417654808	0.7703118137900746	0.7758014931927976	0.8107158541941151	0.7806324110671937	0.7902942468159859	0.8052261747913922	
0.05000000000000002	0.785243741765481	0.80566534914361	0.8001756697408872	0.7960035133948178	0.7900746596398771	0.7602108036890645	0.7547211242863416	0.7799736495388668	0.779754062362758	0.7707509881422925	0.7599912165129555	0.7953447518664911	0.7202459376372421	0.7252964426877471	0.741106719367589	0.7400087834870442	0.7200263504611332	0.7648221343873517	0.7553798858146683	0.800395256916996	0.7206851119894597	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	60.87%
1	10	0.2	91.3%
2	10	0.2	72.73%
3	10	0.2	81.82%
4	10	0.2	90.91%
5	10	0.2	95.45%
6	10	0.2	72.73%
7	10	0.2	81.82%
8	10	0.2	95.45%
0	11	0.2	60.87%
1	11	0.2	91.3%
2	11	0.2	72.73%
3	11	0.2	81.82%
4	11	0.2	90.91%
5	11	0.2	95.45%
6	11	0.2	72.73%
7	11	0.2	81.82%
8	11	0.2	95.45%
0	12	0.2	60.87%
1	12	0.2	91.3%
2	12	0.2	72.73%
3	12	0.2	81.82%
4	12	0.2	90.91%
5	12	0.2	95.45%
6	12	0.2	72.73%
7	12	0.2	81.82%
8	12	0.2	95.45%
0	13	0.2	60.87%
1	13	0.2	91.3%
2	13	0.2	72.73%
3	13	0.2	81.82%
4	13	0.2	90.91%
5	13	0.2	95.45%
6	13	0.2	72.73%
7	13	0.2	81.82%
8	13	0.2	95.45%
0	14	0.2	60.87%
1	14	0.2	91.3%
2	14	0.2	72.73%
3	14	0.2	81.82%
4	14	0.2	90.91%
5	14	0.2	95.45%
6	14	0.2	72.73%
7	14	0.2	81.82%
8	14	0.2	95.45%
0	15	0.2	60.87%
1	15	0.2	91.3%
2	15	0.2	72.73%
3	15	0.2	81.82%
4	15	0.2	90.91%
5	15	0.2	95.45%
6	15	0.2	72.73%
7	15	0.2	81.82%
8	15	0.2	95.45%
0	16	0.2	60.87%
1	16	0.2	91.3%
2	16	0.2	72.73%
3	16	0.2	81.82%
4	16	0.2	90.91%
5	16	0.2	95.45%
6	16	0.2	72.73%
7	16	0.2	81.82%
8	16	0.2	95.45%
0	17	0.2	60.87%
1	17	0.2	91.3%
2	17	0.2	72.73%
3	17	0.2	81.82%
4	17	0.2	90.91%
5	17	0.2	95.45%
6	17	0.2	72.73%
7	17	0.2	81.82%
8	17	0.2	95.45%
0	18	0.2	60.87%
1	18	0.2	91.3%
2	18	0.2	72.73%
3	18	0.2	81.82%
4	18	0.2	90.91%
5	18	0.2	95.45%
