Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8202614379084968	0.8253119429590018	0.8202614379084968	0.8253119429590018	0.7091503267973857	0.7445038621509209	0.631610219845514	0.6779560308972075	0.6889483065953654	
0.15000000000000002	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8202614379084968	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.8253119429590018	0.7243018419489008	0.8253119429590018	0.739453357100416	0.739453357100416	0.8253119429590018	
0.10000000000000002	0.800207961972668	0.7798573975044564	0.810308972073678	0.8152109328579917	0.765002970885324	0.8048128342245989	0.8100118835412954	0.7954545454545455	0.8100118835412954	0.7951574569221629	0.8101604278074866	0.770053475935829	0.7855020796197268	0.7605466428995841	0.7852049910873441	0.7953060011883543	0.8101604278074866	0.7853535353535355	0.810308972073678	0.775103980986334	0.8052584670231729	
0.05000000000000002	0.7898098633392752	0.800207961972668	0.7904040404040406	0.7500000000000001	0.7653000594177066	0.8005050505050506	0.7703505644682115	0.7300950683303623	0.7603980986333929	0.8202614379084968	0.7603980986333928	0.7559417706476531	0.7210338680926917	0.7954545454545455	0.740790255496138	0.7601010101010103	0.8198158051099228	0.7956030897207369	0.7748068924539514	0.7749554367201427	0.7551990493166966	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	67.65%
1	10	0.2	91.18%
2	10	0.2	90.91%
3	10	0.2	75.76%
4	10	0.2	84.85%
5	10	0.2	84.85%
0	11	0.2	67.65%
1	11	0.2	91.18%
2	11	0.2	90.91%
3	11	0.2	75.76%
4	11	0.2	84.85%
5	11	0.2	84.85%
0	12	0.2	67.65%
1	12	0.2	91.18%
2	12	0.2	90.91%
3	12	0.2	75.76%
4	12	0.2	84.85%
5	12	0.2	84.85%
0	13	0.2	67.65%
1	13	0.2	91.18%
2	13	0.2	90.91%
3	13	0.2	75.76%
4	13	0.2	84.85%
5	13	0.2	84.85%
0	14	0.2	67.65%
1	14	0.2	91.18%
2	14	0.2	90.91%
3	14	0.2	75.76%
4	14	0.2	84.85%
5	14	0.2	84.85%
0	15	0.2	67.65%
1	15	0.2	91.18%
2	15	0.2	90.91%
3	15	0.2	75.76%
4	15	0.2	84.85%
5	15	0.2	84.85%
0	16	0.2	67.65%
1	16	0.2	91.18%
2	16	0.2	90.91%
3	16	0.2	75.76%
4	16	0.2	84.85%
5	16	0.2	84.85%
0	17	0.2	67.65%
1	17	0.2	91.18%
2	17	0.2	90.91%
3	17	0.2	75.76%
4	17	0.2	84.85%
5	17	0.2	84.85%
0	18	0.2	67.65%
1	18	0.2	91.18%
2	18	0.2	90.91%
3	18	0.2	75.76%
4	18	0.2	84.85%
5	18	0.2	84.85%
0	19	0.2	67.65%
1	19	0.2	91.18%
2	19	0.2	90.91%
3	19	0.2	75.76%
4	19	0.2	84.85%
5	19	0.2	84.85%
0	20	0.2	67.65%
1	20	0.2	91.18%
2	20	0.2	90.91%
3	20	0.2	75.76%
4	20	0.2	84.85%
5	20	0.2	84.85%
0	21	0.2	67.65%
1	21	0.2	91.18%
2	21	0.2	90.91%
3	21	0.2	75.76%
4	21	0.2	84.85%
5	21	0.2	84.85%
0	22	0.2	67.65%
1	22	0.2	91.18%
2	22	0.2	87.88%
3	22	0.2	75.76%
4	22	0.2	84.85%
5	22	0.2	84.85%
