Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.82	0.8	0.6599999999999999	0.5	0.645	0.825	
0.15000000000000002	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.815	0.825	0.825	0.825	0.825	0.825	0.825	0.825	
0.10000000000000002	0.785	0.815	0.7949999999999999	0.8	0.7850000000000001	0.8	0.815	0.79	0.8200000000000001	0.8099999999999999	0.815	0.7749999999999999	0.8	0.7749999999999999	0.7949999999999999	0.8049999999999999	0.7849999999999999	0.7849999999999999	0.8050000000000002	0.805	0.8	
0.05000000000000002	0.8099999999999999	0.785	0.7849999999999999	0.7450000000000001	0.795	0.7849999999999999	0.795	0.76	0.7250000000000001	0.76	0.8	0.7899999999999999	0.7449999999999999	0.7449999999999999	0.77	0.7450000000000001	0.74	0.7450000000000001	0.7550000000000001	0.77	0.76	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	76%
1	10	0.2	84%
2	10	0.2	86%
3	10	0.2	84%
0	11	0.2	76%
1	11	0.2	84%
2	11	0.2	86%
3	11	0.2	84%
0	12	0.2	76%
1	12	0.2	84%
2	12	0.2	86%
3	12	0.2	84%
0	13	0.2	76%
1	13	0.2	84%
2	13	0.2	86%
3	13	0.2	84%
0	14	0.2	76%
1	14	0.2	84%
2	14	0.2	86%
3	14	0.2	84%
0	15	0.2	76%
1	15	0.2	84%
2	15	0.2	86%
3	15	0.2	84%
0	16	0.2	76%
1	16	0.2	84%
2	16	0.2	86%
3	16	0.2	84%
0	17	0.2	76%
1	17	0.2	84%
2	17	0.2	86%
3	17	0.2	84%
0	18	0.2	76%
1	18	0.2	84%
2	18	0.2	86%
3	18	0.2	84%
0	19	0.2	76%
1	19	0.2	84%
2	19	0.2	86%
3	19	0.2	84%
0	20	0.2	76%
1	20	0.2	84%
2	20	0.2	86%
3	20	0.2	84%
0	21	0.2	76%
1	21	0.2	84%
2	21	0.2	86%
3	21	0.2	84%
0	22	0.2	76%
1	22	0.2	84%
2	22	0.2	86%
3	22	0.2	84%
0	23	0.2	76%
1	23	0.2	84%
2	23	0.2	86%
3	23	0.2	84%
0	24	0.2	76%
1	24	0.2	84%
2	24	0.2	86%
3	24	0.2	84%
0	25	0.2	76%
1	25	0.2	84%
2	25	0.2	86%
3	25	0.2	82%
0	26	0.2	76%
1	26	0.2	84%
2	26	0.2	76%
3	26	0.2	84%
0	27	0.2	76%
1	27	0.2	18%
2	27	0.2	86%
3	27	0.2	84%
0	28	0.2	76%
1	28	0.2	16%
2	28	0.2	86%
3	28	0.2	22%
0	29	0.2	76%
1	29	0.2	84%
2	29	0.2	14%
3	29	0.2	84%
0	30	0.2	76%
1	30	0.2	84%
2	30	0.2	86%
3	30	0.2	84%
0	10	0.15	76%
1	10	0.15	84%
2	10	0.15	86%
3	10	0.15	84%
0	11	0.15	76%
1	11	0.15	84%
2	11	0.15	86%
3	11	0.15	84%
0	12	0.15	76%
1	12	0.15	84%
2	12	0.15	86%
3	12	0.15	84%
0	13	0.15	76%
1	13	0.15	84%
2	13	0.15	86%
3	13	0.15	84%
0	14	0.15	76%
1	14	0.15	84%
2	14	0.15	86%
3	14	0.15	84%
0	15	0.15	76%
1	15	0.15	84%
2	15	0.15	86%
3	15	0.15	84%
0	16	0.15	76%
1	16	0.15	84%
2	16	0.15	86%
3	16	0.15	84%
0	17	0.15	76%
1	17	0.15	84%
2	17	0.15	86%
3	17	0.15	84%
0	18	0.15	76%
1	18	0.15	84%
2	18	0.15	86%
3	18	0.15	84%
0	19	0.15	76%
1	19	0.15	84%
2	19	0.15	86%
3	19	0.15	84%
