Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0,2	0,6793368114223605	0,6855615631638753	0,6830277555456746	0,6827587767402796	0,6834268860234178	0,6812035373746357	0,6838270836421125	0,6824467961069117	0,6825367521367521	0,6808929005483918	0,6843614248307889	0,6812474482486044	0,6828037152314609	0,6797810187243714	0,6811159330072625	0,6805374635640531	0,6767572748381997	0,6780021145200336	0,6837383133244406	0,6796920903117434	0,6812927622153057	
0,15000000000000002	0,7009533125833702	0,733441687663653	0,7662444740872486	0,7380213428190306	0,7616214218665086	0,7832316980386345	0,7871887357344004	0,756563786374191	0,7577650708957068	0,793279324144064	0,7649545773430166	0,7336970703028507	0,7836318956573292	0,7937221876389506	0,7954119262882269	0,7929649918482289	0,7615431451015267	0,7907442122424782	0,7939456350970802	0,7913220493058644	0,7801176226471023	
0,10000000000000002	0,7152958450669433	0,8035058149300923	0,7900623289363173	0,7968208882960328	0,8061739044513612	0,8842373400523689	0,8801017143421767	0,7672245244800158	0,8752130823575911	0,7969697346969025	0,7977709204090707	0,8045913146583669	0,8823678474383676	0,8275500815177115	0,7836201768687319	0,8027342917840029	0,8801015760090906	0,8770311348253547	0,8496857467516425	0,8825910972778026	0,8847695074354036	
0,05000000000000002	0,7099891112099204	0,6856878019860679	0,6570374388617164	0,8123296675065461	0,8430806580702533	0,8606804802134282	0,8524424880193667	0,9218929894768045	0,8847150239612669	0,8192379032656488	0,9392748974853022	0,8424124895015069	0,8993037893384713	0,8545862753816511	0,9239753767106368	0,9295768983745862	0,8201272269156663	0,9339874512128847	0,7615671162491974	0,9472293266142977	0,9511866212143667	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0,2	67,02%
1	10	0,2	68,76%
2	10	0,2	66,22%
3	10	0,2	69,51%
4	10	0,2	67,67%
5	10	0,2	68,79%
6	10	0,2	68,52%
7	10	0,2	66,52%
8	10	0,2	67,45%
9	10	0,2	68,88%
0	11	0,2	67,24%
1	11	0,2	68,31%
2	11	0,2	68,76%
3	11	0,2	67,73%
4	11	0,2	69,32%
5	11	0,2	69,68%
6	11	0,2	69,36%
7	11	0,2	67,72%
8	11	0,2	68,21%
9	11	0,2	69,23%
0	12	0,2	67,33%
1	12	0,2	67,69%
2	12	0,2	67,64%
3	12	0,2	67,91%
4	12	0,2	69,54%
5	12	0,2	69,1%
6	12	0,2	67,19%
7	12	0,2	69,01%
8	12	0,2	69,32%
9	12	0,2	68,3%
0	13	0,2	69,11%
1	13	0,2	67,87%
2	13	0,2	69,24%
3	13	0,2	69,29%
4	13	0,2	69,01%
5	13	0,2	69,28%
6	13	0,2	67,59%
7	13	0,2	67,23%
8	13	0,2	67,14%
9	13	0,2	67,01%
0	14	0,2	67,64%
1	14	0,2	68,04%
2	14	0,2	68,89%
3	14	0,2	68,36%
4	14	0,2	69,76%
5	14	0,2	67,99%
6	14	0,2	69,5%
7	14	0,2	67,72%
8	14	0,2	66,3%
9	14	0,2	69,23%
0	15	0,2	68,18%
1	15	0,2	68,13%
2	15	0,2	68,36%
3	15	0,2	68,58%
4	15	0,2	68,74%
5	15	0,2	68,56%
6	15	0,2	68,92%
7	15	0,2	68,43%
8	15	0,2	66,52%
9	15	0,2	66,79%
0	16	0,2	66,89%
1	16	0,2	68,13%
2	16	0,2	69,64%
3	16	0,2	68,22%
4	16	0,2	69,05%
5	16	0,2	68,79%
6	16	0,2	67,99%
7	16	0,2	68,47%
8	16	0,2	68,83%
9	16	0,2	67,81%
0	17	0,2	68,93%
1	17	0,2	68,8%
2	17	0,2	69,24%
3	17	0,2	70,18%
4	17	0,2	68,74%
5	17	0,2	67,76%
6	17	0,2	67,85%
7	17	0,2	67,23%
8	17	0,2	66,74%
