Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.8	0.8200000000000001	0.655	0.825	0.71	0.765	0.825	0.825	
0.15000000000000002	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.715	0.825	0.825	0.825	
0.10000000000000002	0.8049999999999999	0.8	0.785	0.795	0.8	0.8	0.8049999999999999	0.8200000000000001	0.795	0.795	0.785	0.8200000000000001	0.8200000000000001	0.78	0.8	0.7949999999999999	0.78	0.8049999999999999	0.79	0.8	0.785	
0.05000000000000002	0.785	0.75	0.795	0.8200000000000001	0.8	0.81	0.735	0.785	0.77	0.7849999999999999	0.81	0.79	0.785	0.7849999999999999	0.815	0.795	0.79	0.79	0.7	0.77	0.77	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	81%
1	10	0.2	84%
0	11	0.2	81%
1	11	0.2	84%
0	12	0.2	81%
1	12	0.2	84%
0	13	0.2	81%
1	13	0.2	84%
0	14	0.2	81%
1	14	0.2	84%
0	15	0.2	81%
1	15	0.2	84%
0	16	0.2	81%
1	16	0.2	84%
0	17	0.2	81%
1	17	0.2	84%
0	18	0.2	81%
1	18	0.2	84%
0	19	0.2	81%
1	19	0.2	84%
0	20	0.2	81%
1	20	0.2	84%
0	21	0.2	81%
1	21	0.2	84%
0	22	0.2	81%
1	22	0.2	84%
0	23	0.2	81%
1	23	0.2	79%
0	24	0.2	81%
1	24	0.2	83%
0	25	0.2	81%
1	25	0.2	50%
0	26	0.2	81%
1	26	0.2	84%
0	27	0.2	58%
1	27	0.2	84%
0	28	0.2	81%
1	28	0.2	72%
0	29	0.2	81%
1	29	0.2	84%
0	30	0.2	81%
1	30	0.2	84%
0	10	0.15	81%
1	10	0.15	84%
0	11	0.15	81%
1	11	0.15	84%
0	12	0.15	81%
1	12	0.15	84%
0	13	0.15	81%
1	13	0.15	84%
0	14	0.15	81%
1	14	0.15	84%
0	15	0.15	81%
1	15	0.15	84%
0	16	0.15	81%
1	16	0.15	84%
0	17	0.15	81%
1	17	0.15	84%
0	18	0.15	81%
1	18	0.15	84%
0	19	0.15	81%
1	19	0.15	84%
0	20	0.15	81%
1	20	0.15	84%
0	21	0.15	81%
1	21	0.15	84%
0	22	0.15	81%
1	22	0.15	84%
0	23	0.15	81%
1	23	0.15	84%
0	24	0.15	81%
1	24	0.15	84%
0	25	0.15	81%
1	25	0.15	84%
0	26	0.15	81%
1	26	0.15	84%
0	27	0.15	59%
1	27	0.15	84%
0	28	0.15	81%
1	28	0.15	84%
0	29	0.15	81%
1	29	0.15	84%
0	30	0.15	81%
1	30	0.15	84%
0	10	0.1	76%
1	10	0.1	85%
0	11	0.1	78%
1	11	0.1	82%
0	12	0.1	78%
1	12	0.1	79%
0	13	0.1	79%
1	13	0.1	80%
0	14	0.1	78%
1	14	0.1	82%
0	15	0.1	77%
1	15	0.1	83%
0	16	0.1	77%
1	16	0.1	84%
0	17	0.1	80%
1	17	0.1	84%
0	18	0.1	78%
1	18	0.1	81%
0	19	0.1	78%
1	19	0.1	81%
0	20	0.1	76%
1	20	0.1	81%
0	21	0.1	80%
1	21	0.1	84%
0	22	0.1	80%
1	22	0.1	84%
0	23	0.1	77%
1	23	0.1	79%
0	24	0.1	78%
1	24	0.1	82%
0	25	0.1	77%
1	25	0.1	82%
0	26	0.1	77%
1	26	0.1	79%
0	27	0.1	78%
1	27	0.1	83%
0	28	0.1	76%
1	28	0.1	82%
0	29	0.1	78%
1	29	0.1	82%
0	30	0.1	77%
1	30	0.1	80%
0	10	0.05	76%
1	10	0.05	81%
0	11	0.05	75%
1	11	0.05	75%
0	12	0.05	78%
1	12	0.05	81%
0	13	0.05	77%
1	13	0.05	87%
0	14	0.05	77%
1	14	0.05	83%
0	15	0.05	81%
1	15	0.05	81%
0	16	0.05	76%
1	16	0.05	71%
0	17	0.05	77%
1	17	0.05	80%
0	18	0.05	76%
1	18	0.05	78%
0	19	0.05	74%
1	19	0.05	83%
0	20	0.05	78%
1	20	0.05	84%
0	21	0.05	78%
1	21	0.05	80%
0	22	0.05	76%
1	22	0.05	81%
0	23	0.05	75%
1	23	0.05	82%
0	24	0.05	82%
1	24	0.05	81%
0	25	0.05	78%
1	25	0.05	81%
0	26	0.05	77%
1	26	0.05	81%
0	27	0.05	76%
1	27	0.05	82%
0	28	0.05	71%
1	28	0.05	69%
0	29	0.05	75%
1	29	0.05	79%
0	30	0.05	75%
1	30	0.05	79%

