Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.6779091682879377	0.6670770509079118	0.6662089953523562	0.670545895482058	0.6696761511024643	0.658018198767834	0.6649271779074795	0.6740417612408128	0.6593354815175098	0.673165261565067	0.6683943336575875	0.6809490515564203	0.6662579712494596	0.664506660722006	0.6627806825551232	0.6735925340466926	0.6671108273886728	0.668818228491137	0.662773927258971	0.6692742109814094	0.6658087440553394	
0.15000000000000002	0.786557973951578	0.7917612408127972	0.786149278534371	0.7948163234976221	0.7592311121919585	0.723765807392996	0.7796760159965412	0.7792132782101167	0.7909303393860786	0.7437665504755728	0.7883160397751836	0.7796388618677043	0.7511416450497189	0.7848421287289234	0.7961268509511457	0.7583765672287073	0.784416545071336	0.7870207117380026	0.7878870784695201	0.7939364461738002	0.7766327550799828	
0.10000000000000002	0.7068150805231301	0.7516888240380458	0.7982193039342845	0.6989536046260267	0.83408823767834	0.8601974573065284	0.7917105760916558	0.7977768320363166	0.8952456225680935	0.8818228491137052	0.8424833819714657	0.8388743650021617	0.8446518320363166	0.8173959008862949	0.8783658263078252	0.8688628134457415	0.8857054555771726	0.8848340223735409	0.8351217979896239	0.8857054555771726	0.8744713980760918	
0.05000000000000002	0.7093044071552097	0.8507805744703848	0.7231966736921747	0.8996264321227841	0.6994974059662776	0.7831330388024211	0.8510592304366623	0.8896877026588845	0.8475515429096412	0.8769421476437527	0.7751128134457415	0.8247541072200605	0.7544010754431475	0.9528176340250758	0.9355156317552962	0.8979156533722438	0.8996331874189364	0.9324943255512321	0.9199497405966278	0.9398440877648078	0.9015905344790317	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	70.43%
1	10	0.2	69.26%
2	10	0.2	70.04%
3	10	0.2	68.87%
4	10	0.2	64.59%
5	10	0.2	66.54%
6	10	0.2	64.84%
7	10	0.2	68.36%
8	10	0.2	67.19%
0	11	0.2	71.21%
1	11	0.2	67.32%
2	11	0.2	67.32%
3	11	0.2	62.26%
4	11	0.2	67.32%
5	11	0.2	70.04%
6	11	0.2	62.89%
7	11	0.2	67.58%
8	11	0.2	64.45%
0	12	0.2	67.7%
1	12	0.2	68.87%
2	12	0.2	66.15%
3	12	0.2	66.54%
4	12	0.2	70.43%
5	12	0.2	65.76%
6	12	0.2	63.67%
7	12	0.2	66.41%
8	12	0.2	64.06%
0	13	0.2	68.87%
1	13	0.2	67.32%
2	13	0.2	66.93%
3	13	0.2	67.7%
4	13	0.2	67.7%
5	13	0.2	67.7%
6	13	0.2	65.62%
7	13	0.2	66.41%
8	13	0.2	65.23%
0	14	0.2	66.93%
1	14	0.2	65.37%
2	14	0.2	66.15%
3	14	0.2	66.15%
4	14	0.2	71.21%
5	14	0.2	70.82%
6	14	0.2	66.8%
7	14	0.2	64.45%
8	14	0.2	64.84%
0	15	0.2	61.09%
1	15	0.2	65.76%
2	15	0.2	67.7%
3	15	0.2	66.54%
4	15	0.2	64.59%
5	15	0.2	66.93%
6	15	0.2	66.41%
7	15	0.2	67.97%
8	15	0.2	65.23%
0	16	0.2	70.04%
1	16	0.2	66.54%
2	16	0.2	65.76%
3	16	0.2	66.54%
4	16	0.2	64.2%
5	16	0.2	67.7%
6	16	0.2	67.58%
7	16	0.2	65.23%
8	16	0.2	64.84%
0	17	0.2	66.15%
1	17	0.2	67.7%
2	17	0.2	70.43%
3	17	0.2	66.93%
4	17	0.2	67.32%
5	17	0.2	62.26%
6	17	0.2	68.75%
7	17	0.2	67.58%
8	17	0.2	69.53%
0	18	0.2	64.98%
1	18	0.2	64.98%
2	18	0.2	63.04%
3	18	0.2	65.37%
4	18	0.2	63.81%
5	18	0.2	66.93%
