Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0,2	0,6562770562770563	0,6922077922077923	0,6675324675324675	0,674025974025974	0,6839826839826839	0,6865800865800866	0,6896103896103896	0,6887445887445888	0,6610389610389611	0,6536796536796536	0,6493506493506493	0,654978354978355	0,6779220779220779	0,6761904761904762	0,6567099567099567	0,6779220779220779	0,6679653679653679	0,6614718614718614	0,6718614718614718	0,7	0,7051948051948052	
0,15000000000000002	0,7744588744588745	0,7831168831168831	0,7701298701298701	0,7727272727272727	0,8008658008658008	0,7779220779220779	0,7852813852813854	0,7796536796536797	0,8012987012987014	0,7744588744588745	0,638961038961039	0,7727272727272727	0,7818181818181817	0,7865800865800866	0,7688311688311689	0,7831168831168831	0,793939393939394	0,8069264069264069	0,7883116883116883	0,7774891774891775	0,7787878787878788	
0,10000000000000002	0,8913419913419913	0,6948051948051948	0,8718614718614719	0,7	0,5316017316017316	0,8896103896103896	0,8891774891774892	0,8852813852813852	0,8718614718614719	0,8943722943722944	0,8688311688311688	0,8813852813852814	0,8835497835497835	0,8887445887445887	0,6909090909090909	0,8917748917748918	0,8783549783549783	0,8822510822510823	0,8922077922077922	0,8865800865800866	0,8883116883116883	
0,05000000000000002	0,6415584415584416	0,9004329004329005	0,735064935064935	0,961038961038961	0,8818181818181818	0,9601731601731602	0,9393939393939394	0,7272727272727273	0,8796536796536796	0,9471861471861471	0,9056277056277056	0,9437229437229437	0,9562770562770563	0,729004329004329	0,9528138528138528	0,9519480519480519	0,9441558441558442	0,9541125541125541	0,9458874458874459	0,751082251082251	0,9588744588744589	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0,2	66,75%
1	10	0,2	64,5%
0	11	0,2	69,44%
1	11	0,2	69%
0	12	0,2	68,05%
1	12	0,2	65,45%
0	13	0,2	63,03%
1	13	0,2	71,77%
0	14	0,2	66,49%
1	14	0,2	70,3%
0	15	0,2	68,48%
1	15	0,2	68,83%
0	16	0,2	70,56%
1	16	0,2	67,36%
0	17	0,2	69,7%
1	17	0,2	68,05%
0	18	0,2	67,88%
1	18	0,2	64,33%
0	19	0,2	70,04%
1	19	0,2	60,69%
0	20	0,2	67,19%
1	20	0,2	62,68%
0	21	0,2	66,23%
1	21	0,2	64,76%
0	22	0,2	66,06%
1	22	0,2	69,52%
0	23	0,2	66,93%
1	23	0,2	68,31%
0	24	0,2	66,67%
1	24	0,2	64,68%
0	25	0,2	64,94%
1	25	0,2	70,65%
0	26	0,2	65,11%
1	26	0,2	68,48%
0	27	0,2	67,45%
1	27	0,2	64,85%
0	28	0,2	67,97%
1	28	0,2	66,41%
0	29	0,2	68,05%
1	29	0,2	71,95%
0	30	0,2	71%
1	30	0,2	70,04%
0	10	0,15	77,66%
1	10	0,15	77,23%
0	11	0,15	76,97%
1	11	0,15	79,65%
0	12	0,15	78,01%
1	12	0,15	76,02%
0	13	0,15	76,1%
1	13	0,15	78,44%
0	14	0,15	77,75%
1	14	0,15	82,42%
0	15	0,15	75,93%
1	15	0,15	79,65%
0	16	0,15	78,61%
1	16	0,15	78,44%
0	17	0,15	78,35%
1	17	0,15	77,58%
0	18	0,15	81,04%
1	18	0,15	79,22%
0	19	0,15	76,88%
1	19	0,15	78,01%
0	20	0,15	49,87%
1	20	0,15	77,92%
0	21	0,15	77,06%
1	21	0,15	77,49%
0	22	0,15	77,06%
1	22	0,15	79,31%
0	23	0,15	78,18%
1	23	0,15	79,13%
0	24	0,15	77,49%
1	24	0,15	76,28%
0	25	0,15	77,49%
1	25	0,15	79,13%
0	26	0,15	77,75%
1	26	0,15	81,04%
0	27	0,15	79,31%
1	27	0,15	82,08%
