Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.6852813852813854	0.6796536796536795	0.6792207792207792	0.6839826839826839	0.6822510822510822	0.6683982683982685	0.6567099567099567	0.6735930735930736	0.664069264069264	0.6731601731601732	0.6614718614718614	0.6787878787878788	0.661038961038961	0.6722943722943723	0.6735930735930735	0.6727272727272727	0.664069264069264	0.6558441558441558	0.6575757575757576	0.6415584415584416	0.655844155844156	
0.15000000000000002	0.7922077922077921	0.790909090909091	0.8025974025974026	0.6536796536796536	0.7831168831168831	0.748051948051948	0.7541125541125541	0.7489177489177489	0.7935064935064935	0.7826839826839826	0.7783549783549784	0.7974025974025974	0.7865800865800867	0.7948051948051947	0.7909090909090908	0.7982683982683982	0.7735930735930737	0.7865800865800864	0.7991341991341991	0.8004329004329005	0.7792207792207793	
0.10000000000000002	0.7783549783549785	0.8389610389610389	0.8303030303030303	0.8324675324675325	0.829004329004329	0.8705627705627705	0.7186147186147186	0.8839826839826842	0.8883116883116884	0.8606060606060605	0.8870129870129871	0.8874458874458876	0.7735930735930736	0.8748917748917748	0.8930735930735931	0.8285714285714285	0.8909090909090908	0.8826839826839826	0.8298701298701301	0.7922077922077921	0.8822510822510822	
0.05000000000000002	0.9506493506493506	0.8705627705627704	0.8194805194805195	0.6943722943722943	0.822077922077922	0.8666666666666666	0.9290043290043289	0.8307359307359307	0.935064935064935	0.8038961038961039	0.9493506493506493	0.9502164502164503	0.887012987012987	0.8887445887445887	0.822943722943723	0.9441558441558442	0.9502164502164502	0.9554112554112554	0.9523809523809526	0.8398268398268397	0.9393939393939394	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	71.52%
1	10	0.2	68.18%
2	10	0.2	69.39%
3	10	0.2	70%
4	10	0.2	69.7%
5	10	0.2	61.52%
6	10	0.2	69.39%
0	11	0.2	65.15%
1	11	0.2	65.15%
2	11	0.2	67.58%
3	11	0.2	73.03%
4	11	0.2	69.09%
5	11	0.2	72.73%
6	11	0.2	63.03%
0	12	0.2	69.09%
1	12	0.2	69.09%
2	12	0.2	69.39%
3	12	0.2	64.55%
4	12	0.2	66.97%
5	12	0.2	70.3%
6	12	0.2	66.06%
0	13	0.2	67.58%
1	13	0.2	69.09%
2	13	0.2	66.67%
3	13	0.2	71.21%
4	13	0.2	65.45%
5	13	0.2	70.91%
6	13	0.2	67.88%
0	14	0.2	66.97%
1	14	0.2	70.3%
2	14	0.2	65.45%
3	14	0.2	67.88%
4	14	0.2	69.39%
5	14	0.2	70%
6	14	0.2	67.58%
0	15	0.2	66.97%
1	15	0.2	67.88%
2	15	0.2	65.15%
3	15	0.2	70%
4	15	0.2	66.36%
5	15	0.2	70.91%
6	15	0.2	60.61%
0	16	0.2	66.97%
1	16	0.2	64.55%
2	16	0.2	63.03%
3	16	0.2	70.3%
4	16	0.2	61.52%
5	16	0.2	66.06%
6	16	0.2	67.27%
0	17	0.2	68.79%
1	17	0.2	69.39%
2	17	0.2	67.27%
3	17	0.2	61.21%
4	17	0.2	69.09%
5	17	0.2	69.39%
6	17	0.2	66.36%
0	18	0.2	66.06%
1	18	0.2	64.55%
2	18	0.2	67.58%
3	18	0.2	69.7%
4	18	0.2	62.73%
5	18	0.2	65.15%
6	18	0.2	69.09%
0	19	0.2	68.18%
1	19	0.2	68.48%
2	19	0.2	65.15%
3	19	0.2	65.45%
4	19	0.2	71.82%
5	19	0.2	66.97%
6	19	0.2	65.15%
0	20	0.2	69.09%
1	20	0.2	61.52%
2	20	0.2	66.36%
3	20	0.2	67.88%
4	20	0.2	66.36%
5	20	0.2	66.06%
6	20	0.2	65.76%
0	21	0.2	65.15%
1	21	0.2	65.76%
