Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.6848484848484848	0.6701298701298701	0.6731601731601732	0.6956709956709956	0.6761904761904761	0.664069264069264	0.6658008658008658	0.6753246753246753	0.6623376623376623	0.6718614718614717	0.6658008658008657	0.645887445887446	0.6826839826839828	0.6753246753246753	0.6779220779220779	0.6696969696969697	0.6649350649350649	0.6714285714285715	0.6510822510822512	0.6619047619047619	0.661904761904762	
0.15000000000000002	0.7900432900432901	0.748917748917749	0.7978354978354978	0.7852813852813854	0.7272727272727273	0.7904761904761906	0.6649350649350649	0.7991341991341991	0.7779220779220778	0.7874458874458875	0.716017316017316	0.7264069264069264	0.7796536796536797	0.7134199134199134	0.7896103896103897	0.7818181818181819	0.7792207792207793	0.7753246753246754	0.7826839826839828	0.7831168831168831	0.7779220779220779	
0.10000000000000002	0.8043290043290042	0.8770562770562771	0.8051948051948052	0.7177489177489178	0.8073593073593074	0.8064935064935066	0.8831168831168832	0.7995670995670995	0.8714285714285716	0.7961038961038961	0.8813852813852814	0.8761904761904761	0.8151515151515151	0.8796536796536797	0.8774891774891774	0.8913419913419913	0.7341991341991342	0.8805194805194805	0.8766233766233766	0.8740259740259739	0.8731601731601731	
0.05000000000000002	0.9151515151515153	0.8428571428571427	0.8632034632034632	0.8623376623376624	0.8588744588744589	0.8389610389610389	0.6839826839826839	0.9484848484848485	0.9562770562770563	0.9493506493506493	0.9532467532467532	0.9467532467532468	0.9142857142857144	0.7640692640692641	0.8887445887445887	0.7675324675324676	0.7658008658008658	0.9532467532467532	0.8619047619047618	0.7640692640692641	0.9545454545454545	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	69.05%
1	10	0.2	71.43%
2	10	0.2	68.83%
3	10	0.2	66.67%
4	10	0.2	66.45%
0	11	0.2	70.78%
1	11	0.2	67.97%
2	11	0.2	67.1%
3	11	0.2	67.1%
4	11	0.2	62.12%
0	12	0.2	64.5%
1	12	0.2	72.94%
2	12	0.2	70.56%
3	12	0.2	63.85%
4	12	0.2	64.72%
0	13	0.2	67.97%
1	13	0.2	66.88%
2	13	0.2	73.59%
3	13	0.2	68.83%
4	13	0.2	70.56%
0	14	0.2	66.88%
1	14	0.2	68.61%
2	14	0.2	69.91%
3	14	0.2	66.67%
4	14	0.2	66.02%
0	15	0.2	66.23%
1	15	0.2	65.37%
2	15	0.2	62.12%
3	15	0.2	70.78%
4	15	0.2	67.53%
0	16	0.2	67.32%
1	16	0.2	66.88%
2	16	0.2	68.18%
3	16	0.2	64.5%
4	16	0.2	66.02%
0	17	0.2	64.29%
1	17	0.2	72.08%
2	17	0.2	66.67%
3	17	0.2	67.1%
4	17	0.2	67.53%
0	18	0.2	64.07%
1	18	0.2	67.32%
2	18	0.2	63.64%
3	18	0.2	70.13%
4	18	0.2	66.02%
0	19	0.2	66.23%
1	19	0.2	72.73%
2	19	0.2	66.45%
3	19	0.2	63.85%
4	19	0.2	66.67%
0	20	0.2	66.02%
1	20	0.2	65.37%
2	20	0.2	69.05%
3	20	0.2	64.5%
4	20	0.2	67.97%
0	21	0.2	59.09%
1	21	0.2	64.07%
2	21	0.2	68.61%
3	21	0.2	64.5%
4	21	0.2	66.67%
0	22	0.2	65.8%
1	22	0.2	70.56%
2	22	0.2	71.21%
3	22	0.2	67.1%
4	22	0.2	66.67%
0	23	0.2	70.13%
1	23	0.2	69.7%
2	23	0.2	67.97%
3	23	0.2	64.94%
4	23	0.2	64.94%
0	24	0.2	67.97%
1	24	0.2	71.21%
2	24	0.2	70.35%
3	24	0.2	64.94%
4	24	0.2	64.5%
0	25	0.2	68.4%
1	25	0.2	68.18%
2	25	0.2	68.4%
3	25	0.2	64.5%
4	25	0.2	65.37%
0	26	0.2	67.97%
1	26	0.2	67.75%
2	26	0.2	68.61%
3	26	0.2	62.77%
4	26	0.2	65.37%
0	27	0.2	66.45%
1	27	0.2	69.26%
2	27	0.2	66.23%
3	27	0.2	67.53%
4	27	0.2	66.23%
0	28	0.2	66.88%
1	28	0.2	60.39%
2	28	0.2	65.58%
3	28	0.2	66.45%
4	28	0.2	66.23%
0	29	0.2	62.99%
1	29	0.2	67.97%
2	29	0.2	67.75%
3	29	0.2	64.94%
4	29	0.2	67.32%
0	30	0.2	67.32%
1	30	0.2	69.26%
2	30	0.2	64.72%
3	30	0.2	60.39%
4	30	0.2	69.26%
0	10	0.15	79.22%
1	10	0.15	82.47%
2	10	0.15	78.79%
3	10	0.15	75.54%
4	10	0.15	79%
0	11	0.15	78.79%
1	11	0.15	49.35%
2	11	0.15	81.39%
3	11	0.15	83.12%
4	11	0.15	81.82%
0	12	0.15	79%
1	12	0.15	82.47%
2	12	0.15	82.25%
3	12	0.15	77.49%
4	12	0.15	77.71%
0	13	0.15	76.62%
1	13	0.15	77.92%
2	13	0.15	77.92%
3	13	0.15	80.52%
4	13	0.15	79.65%
0	14	0.15	79.87%
1	14	0.15	79.65%
2	14	0.15	79.65%
3	14	0.15	75.54%
4	14	0.15	48.92%
0	15	0.15	78.57%
1	15	0.15	79%
2	15	0.15	80.52%
3	15	0.15	78.14%
4	15	0.15	79%
0	16	0.15	49.57%
1	16	0.15	79%
2	16	0.15	76.41%
3	16	0.15	78.57%
4	16	0.15	48.92%
0	17	0.15	80.52%
1	17	0.15	82.25%
2	17	0.15	81.39%
3	17	0.15	77.06%
4	17	0.15	78.35%
0	18	0.15	75.76%
1	18	0.15	79.44%
2	18	0.15	78.79%
3	18	0.15	77.92%
4	18	0.15	77.06%
0	19	0.15	79.65%
1	19	0.15	77.92%
2	19	0.15	76.62%
3	19	0.15	83.33%
4	19	0.15	76.19%
0	20	0.15	77.06%
1	20	0.15	79%
2	20	0.15	50.43%
3	20	0.15	76.19%
4	20	0.15	75.32%
0	21	0.15	50.22%
1	21	0.15	82.03%
2	21	0.15	79.65%
3	21	0.15	76.41%
4	21	0.15	74.89%
0	22	0.15	75.54%
1	22	0.15	80.74%
2	22	0.15	79.87%
3	22	0.15	75.54%
4	22	0.15	78.14%
0	23	0.15	77.49%
1	23	0.15	79.22%
2	23	0.15	49.57%
3	23	0.15	75.97%
4	23	0.15	74.46%
0	24	0.15	78.79%
1	24	0.15	82.03%
2	24	0.15	78.14%
3	24	0.15	79.22%
4	24	0.15	76.62%
0	25	0.15	77.92%
1	25	0.15	80.74%
2	25	0.15	80.3%
3	25	0.15	76.84%
4	25	0.15	75.11%
0	26	0.15	75.76%
1	26	0.15	83.12%
2	26	0.15	77.06%
3	26	0.15	77.71%
4	26	0.15	75.97%
0	27	0.15	76.41%
1	27	0.15	80.52%
2	27	0.15	80.74%
3	27	0.15	76.62%
4	27	0.15	73.38%
0	28	0.15	75.54%
1	28	0.15	77.92%
2	28	0.15	82.68%
3	28	0.15	79%
4	28	0.15	76.19%
0	29	0.15	77.92%
1	29	0.15	77.49%
2	29	0.15	79.65%
3	29	0.15	79%
4	29	0.15	77.49%
0	30	0.15	76.62%
1	30	0.15	77.27%
2	30	0.15	79.44%
3	30	0.15	78.35%
4	30	0.15	77.27%
0	10	0.1	49.78%
1	10	0.1	89.39%
2	10	0.1	86.36%
3	10	0.1	88.74%
4	10	0.1	87.88%
0	11	0.1	88.96%
1	11	0.1	88.31%
2	11	0.1	89.61%
3	11	0.1	84.85%
4	11	0.1	86.8%
0	12	0.1	86.36%
1	12	0.1	49.35%
2	12	0.1	90.48%
3	12	0.1	86.8%
4	12	0.1	89.61%
0	13	0.1	83.55%
1	13	0.1	89.18%
2	13	0.1	49.57%
3	13	0.1	48.7%
4	13	0.1	87.88%
0	14	0.1	87.66%
1	14	0.1	87.45%
2	14	0.1	90.04%
3	14	0.1	49.57%
4	14	0.1	88.96%
0	15	0.1	49.57%
1	15	0.1	88.74%
2	15	0.1	87.01%
3	15	0.1	87.66%
4	15	0.1	90.26%
0	16	0.1	89.39%
1	16	0.1	90.26%
2	16	0.1	90.26%
3	16	0.1	85.71%
4	16	0.1	85.93%
0	17	0.1	89.18%
1	17	0.1	88.31%
2	17	0.1	90.48%
3	17	0.1	82.9%
4	17	0.1	48.92%
0	18	0.1	89.39%
1	18	0.1	88.74%
2	18	0.1	87.88%
3	18	0.1	88.1%
4	18	0.1	81.6%
0	19	0.1	86.8%
1	19	0.1	49.35%
2	19	0.1	87.01%
3	19	0.1	88.1%
4	19	0.1	86.8%
0	20	0.1	89.61%
1	20	0.1	89.83%
2	20	0.1	88.96%
3	20	0.1	85.5%
4	20	0.1	86.8%
0	21	0.1	86.58%
1	21	0.1	87.23%
2	21	0.1	87.66%
3	21	0.1	85.93%
4	21	0.1	90.69%
0	22	0.1	87.66%
1	22	0.1	86.8%
2	22	0.1	87.01%
3	22	0.1	86.58%
4	22	0.1	59.52%
0	23	0.1	87.66%
1	23	0.1	87.66%
2	23	0.1	88.31%
3	23	0.1	87.66%
4	23	0.1	88.53%
0	24	0.1	86.8%
1	24	0.1	87.45%
2	24	0.1	90.26%
3	24	0.1	88.74%
4	24	0.1	85.5%
0	25	0.1	88.1%
1	25	0.1	90.91%
2	25	0.1	88.31%
3	25	0.1	88.53%
4	25	0.1	89.83%
0	26	0.1	54.11%
1	26	0.1	49.35%
2	26	0.1	88.74%
3	26	0.1	85.5%
4	26	0.1	89.39%
0	27	0.1	89.18%
1	27	0.1	84.42%
2	27	0.1	90.26%
3	27	0.1	88.31%
4	27	0.1	88.1%
0	28	0.1	86.8%
1	28	0.1	87.88%
2	28	0.1	87.23%
3	28	0.1	88.96%
4	28	0.1	87.45%
0	29	0.1	86.15%
1	29	0.1	89.39%
2	29	0.1	86.8%
3	29	0.1	87.66%
4	29	0.1	87.01%
0	30	0.1	90.91%
1	30	0.1	86.8%
2	30	0.1	84.63%
3	30	0.1	87.66%
4	30	0.1	86.58%
0	10	0.05	93.51%
1	10	0.05	96.54%
2	10	0.05	94.81%
3	10	0.05	91.77%
4	10	0.05	80.95%
0	11	0.05	95.24%
1	11	0.05	49.35%
