Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.6822510822510822	0.6714285714285714	0.6692640692640692	0.6662337662337663	0.6424242424242425	0.6575757575757576	0.6376623376623377	0.6969696969696969	0.6484848484848486	0.6688311688311689	0.6896103896103897	0.670995670995671	0.670995670995671	0.667965367965368	0.6748917748917749	0.6688311688311689	0.6787878787878788	0.6268398268398269	0.6753246753246752	0.6731601731601732	0.6636363636363636	
0.15000000000000002	0.6956709956709957	0.799134199134199	0.7515151515151515	0.7861471861471863	0.7679653679653679	0.7917748917748918	0.7852813852813854	0.7887445887445889	0.793073593073593	0.787878787878788	0.7714285714285715	0.7822510822510823	0.7813852813852814	0.7753246753246753	0.799134199134199	0.7683982683982684	0.7844155844155845	0.7883116883116884	0.7826839826839826	0.7917748917748918	0.7913419913419913	
0.10000000000000002	0.8822510822510822	0.9008658008658008	0.8865800865800866	0.7489177489177489	0.7636363636363637	0.8818181818181818	0.7619047619047619	0.7489177489177489	0.7385281385281385	0.7493506493506494	0.9008658008658008	0.8722943722943722	0.8887445887445887	0.8852813852813853	0.7705627705627706	0.7554112554112554	0.8913419913419913	0.8606060606060607	0.8965367965367966	0.8792207792207792	0.88008658008658	
0.05000000000000002	0.7896103896103895	0.7658008658008657	0.9484848484848486	0.8082251082251082	0.8025974025974026	0.9454545454545453	0.9528138528138529	0.7961038961038961	0.7714285714285714	0.9545454545454546	0.9458874458874459	0.9497835497835498	0.9506493506493507	0.9489177489177489	0.9125541125541125	0.7965367965367965	0.9506493506493507	0.9528138528138528	0.9497835497835498	0.9484848484848484	0.945021645021645	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	67.4%
1	10	0.2	68.57%
2	10	0.2	68.7%
0	11	0.2	66.62%
1	11	0.2	64.55%
2	11	0.2	70.26%
0	12	0.2	66.23%
1	12	0.2	67.14%
2	12	0.2	67.4%
0	13	0.2	65.19%
1	13	0.2	67.4%
2	13	0.2	67.27%
0	14	0.2	63.9%
1	14	0.2	65.19%
2	14	0.2	63.64%
0	15	0.2	68.57%
1	15	0.2	65.19%
2	15	0.2	63.51%
0	16	0.2	61.43%
1	16	0.2	66.62%
2	16	0.2	63.25%
0	17	0.2	67.53%
1	17	0.2	69.48%
2	17	0.2	72.08%
0	18	0.2	66.1%
1	18	0.2	64.55%
2	18	0.2	63.9%
0	19	0.2	68.31%
1	19	0.2	66.1%
2	19	0.2	66.23%
0	20	0.2	70.26%
1	20	0.2	70%
2	20	0.2	66.62%
0	21	0.2	66.75%
1	21	0.2	67.79%
2	21	0.2	66.75%
0	22	0.2	68.31%
1	22	0.2	66.88%
2	22	0.2	66.1%
0	23	0.2	68.31%
1	23	0.2	66.1%
2	23	0.2	65.97%
0	24	0.2	68.44%
1	24	0.2	68.96%
2	24	0.2	65.06%
0	25	0.2	68.18%
1	25	0.2	61.04%
2	25	0.2	71.43%
0	26	0.2	72.21%
1	26	0.2	65.58%
2	26	0.2	65.84%
0	27	0.2	64.68%
1	27	0.2	60.13%
2	27	0.2	63.25%
0	28	0.2	66.23%
1	28	0.2	67.66%
2	28	0.2	68.7%
0	29	0.2	67.92%
1	29	0.2	69.22%
2	29	0.2	64.81%
0	30	0.2	64.55%
1	30	0.2	71.3%
2	30	0.2	63.25%
0	10	0.15	81.56%
1	10	0.15	77.14%
2	10	0.15	50%
0	11	0.15	80%
1	11	0.15	79.35%
2	11	0.15	80.39%
0	12	0.15	76.75%
1	12	0.15	69.09%
2	12	0.15	79.61%
0	13	0.15	76.88%
1	13	0.15	78.44%
2	13	0.15	80.52%
0	14	0.15	74.68%
1	14	0.15	78.57%
2	14	0.15	77.14%
0	15	0.15	75.84%
