Company	company
VicePresident	vice president
Grape	grape
ShoppingMall	shopping mall
City	city
Bone	bone
Song	song
Award	award
Ship	ship
Judge	judge
SpaceMission	space mission
Atoll	atoll
Drug	drug
Actor	actor
Legislature	legislature
Game	game
Book	book
PokerPlayer	poker player
Saint	saint
Bird	bird
VolleyballLeague	volleyball league
Album	album
Play	play
Food	Food
Model	model
Hotel	hotel
Nerve	nerve
Sport	Αθλήματα
Canal	canal
BasketballTeam	basketball team
Film	film
Vein	vein
NascarDriver	nascar driver
FigureSkater	figure skater
Gene	gene
IceHockeyLeague	ice hockey league
SiteOfSpecialScientificInterest	Site of Special Scientific Interest
Non-ProfitOrganisation	non-profit organisation
VolleyballPlayer	volleyball player
PlayboyPlaymate	Playboy Playmate
Road	road
RadioStation	radio station
Philosopher	philosopher
Fern	fern
Boxer	boxer
WaterwayTunnel	waterway tunnel
Fish	fish
Band	Band
Brain	brain
Sales	sales
SpeedwayLeague	speedway league
PowerStation	power station
Town	town
GovernmentType	Government Type
SpeedwayTeam	speedway team
Park	park
SpaceShuttle	space shuttle
FilmFestival	film festival
IceHockeyPlayer	ice hockey player
CurlingLeague	curling league
LunarCrater	lunar crater
Broadcaster	broadcaster
Organisation	organisation
OfficeHolder	office holder
ArchitecturalStructure	architectural structure
HistoricPlace	historic place
BodyOfWater	body of water
RugbyLeague	rugby league
TelevisionStation	television station
BaseballPlayer	baseball player
Infrastructure	infrastructure
TennisLeague	tennis league
BoxingLeague	boxing league
ChemicalCompound	chemical compound
BaseballLeague	baseball league
GaelicGamesPlayer	Gaelic games player
AmericanFootballTeam	american football team
GeopoliticalOrganisation	geopolitical organisation
HistoricBuilding	historic building
OlympicResult	olympic result
MartialArtist	martial artist
ChemicalElement	chemical element
RailwayTunnel	railway tunnel
RailwayLine	railway line
HandballLeague	handball league
RugbyPlayer	rugby player
ProgrammingLanguage	programming language
BowlingLeague	bowling league
CanadianFootballLeague	canadian football league
RecordLabel	record label
SnookerChamp	snooker world champion
SnookerPlayer	snooker player
GovernmentAgency	government agency
CanadianFootballPlayer	canadian football player
AcademicJournal	academic journal
TennisPlayer	tennis player
RoadJunction	road junction
TelevisionEpisode	television episode
FootballMatch	football match
PublicTransitSystem	public transit system
AutomobileEngine	automobile engine
MilitaryPerson	military person
