Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.595	0.645	0.605	0.615	0.5950000000000001	0.65	0.615	0.5850000000000001	0.635	0.605	0.635	0.645	0.62	0.635	0.6100000000000001	0.625	0.6000000000000001	0.6000000000000001	0.6100000000000001	0.625	0.64	
0.15000000000000002	0.64	0.63	0.62	0.5750000000000001	0.675	0.5850000000000001	0.675	0.6050000000000001	0.6200000000000001	0.675	0.61	0.64	0.625	0.62	0.65	0.635	0.6699999999999999	0.625	0.605	0.6499999999999999	0.6449999999999999	
0.10000000000000002	0.54	0.665	0.6599999999999999	0.645	0.675	0.525	0.665	0.605	0.6599999999999999	0.635	0.6300000000000001	0.6300000000000001	0.61	0.6699999999999999	0.655	0.615	0.575	0.6000000000000001	0.5700000000000001	0.615	0.6150000000000001	
0.05000000000000002	0.65	0.55	0.615	0.595	0.625	0.65	0.6100000000000001	0.6050000000000001	0.63	0.675	0.6200000000000001	0.61	0.66	0.625	0.615	0.61	0.6200000000000001	0.6050000000000001	0.62	0.64	0.6200000000000001	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	70%
1	10	0.2	52%
2	10	0.2	56%
3	10	0.2	60%
0	11	0.2	74%
1	11	0.2	58%
2	11	0.2	66%
3	11	0.2	60%
0	12	0.2	70%
1	12	0.2	58%
2	12	0.2	58%
3	12	0.2	56%
0	13	0.2	74%
1	13	0.2	60%
2	13	0.2	56%
3	13	0.2	56%
0	14	0.2	68%
1	14	0.2	54%
2	14	0.2	60%
3	14	0.2	56%
0	15	0.2	74%
1	15	0.2	56%
2	15	0.2	66%
3	15	0.2	64%
0	16	0.2	68%
1	16	0.2	58%
2	16	0.2	60%
3	16	0.2	60%
0	17	0.2	68%
1	17	0.2	52%
2	17	0.2	58%
3	17	0.2	56%
0	18	0.2	72%
1	18	0.2	60%
2	18	0.2	64%
3	18	0.2	58%
0	19	0.2	70%
1	19	0.2	56%
2	19	0.2	56%
3	19	0.2	60%
0	20	0.2	70%
1	20	0.2	60%
2	20	0.2	64%
3	20	0.2	60%
0	21	0.2	72%
1	21	0.2	62%
2	21	0.2	66%
3	21	0.2	58%
0	22	0.2	66%
1	22	0.2	60%
2	22	0.2	62%
3	22	0.2	60%
0	23	0.2	70%
1	23	0.2	60%
2	23	0.2	68%
3	23	0.2	56%
0	24	0.2	68%
1	24	0.2	54%
2	24	0.2	62%
3	24	0.2	60%
0	25	0.2	72%
1	25	0.2	58%
2	25	0.2	60%
3	25	0.2	60%
0	26	0.2	66%
1	26	0.2	54%
2	26	0.2	60%
3	26	0.2	60%
0	27	0.2	68%
1	27	0.2	54%
2	27	0.2	60%
3	27	0.2	58%
0	28	0.2	68%
1	28	0.2	54%
2	28	0.2	64%
3	28	0.2	58%
0	29	0.2	70%
1	29	0.2	54%
2	29	0.2	66%
3	29	0.2	60%
0	30	0.2	74%
1	30	0.2	56%
2	30	0.2	64%
3	30	0.2	62%
0	10	0.15	72%
1	10	0.15	56%
2	10	0.15	64%
3	10	0.15	64%
0	11	0.15	70%
1	11	0.15	58%
2	11	0.15	56%
3	11	0.15	68%
0	12	0.15	68%
1	12	0.15	58%
2	12	0.15	58%
3	12	0.15	64%
0	13	0.15	44%
1	13	0.15	58%
2	13	0.15	64%
3	13	0.15	64%
0	14	0.15	70%
1	14	0.15	64%
2	14	0.15	70%
3	14	0.15	66%
0	15	0.15	44%
1	15	0.15	66%
2	15	0.15	62%
3	15	0.15	62%
0	16	0.15	66%
1	16	0.15	70%
2	16	0.15	72%
3	16	0.15	62%
0	17	0.15	60%
1	17	0.15	56%
2	17	0.15	68%
3	17	0.15	58%
0	18	0.15	64%
1	18	0.15	54%
2	18	0.15	66%
3	18	0.15	64%
0	19	0.15	70%
1	19	0.15	64%
2	19	0.15	68%
3	19	0.15	68%
0	20	0.15	66%
1	20	0.15	58%
2	20	0.15	60%
3	20	0.15	60%
0	21	0.15	66%
1	21	0.15	54%
2	21	0.15	72%
