Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.6825	0.6725000000000001	0.695	0.6925	0.6775	0.68	0.6775	0.6825	0.6825	0.6825	0.67	0.6975	0.6975	0.68	0.6725000000000001	0.6875	0.6925	0.6825000000000001	0.69	0.675	0.6799999999999999	
0.15000000000000002	0.7975	0.8025	0.7775000000000001	0.8025	0.76	0.7875000000000001	0.79	0.7925	0.7575000000000001	0.7825	0.7825	0.77	0.8	0.7875000000000001	0.8049999999999999	0.7975000000000001	0.7875000000000001	0.7825	0.79	0.785	0.795	
0.10000000000000002	0.825	0.885	0.69	0.88	0.865	0.8825000000000001	0.8825000000000001	0.86	0.8674999999999999	0.875	0.885	0.8825000000000001	0.885	0.8025	0.875	0.8725	0.8775	0.89	0.885	0.8775	0.8775	
0.05000000000000002	0.9450000000000001	0.9175	0.9	0.8574999999999999	0.9524999999999999	0.875	0.9575	0.9475	0.9450000000000001	0.7275	0.9075	0.88	0.9575	0.9175	0.95	0.9325	0.96	0.955	0.96	0.9624999999999999	0.95	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	69%
1	10	0.2	67.5%
0	11	0.2	67%
1	11	0.2	67.5%
0	12	0.2	69%
1	12	0.2	70%
0	13	0.2	70.5%
1	13	0.2	68%
0	14	0.2	66.5%
1	14	0.2	69%
0	15	0.2	67.5%
1	15	0.2	68.5%
0	16	0.2	69.5%
1	16	0.2	66%
0	17	0.2	67.5%
1	17	0.2	69%
0	18	0.2	67.5%
1	18	0.2	69%
0	19	0.2	69.5%
1	19	0.2	67%
0	20	0.2	67.5%
1	20	0.2	66.5%
0	21	0.2	69%
1	21	0.2	70.5%
0	22	0.2	70%
1	22	0.2	69.5%
0	23	0.2	68%
1	23	0.2	68%
0	24	0.2	67.5%
1	24	0.2	67%
0	25	0.2	69%
1	25	0.2	68.5%
0	26	0.2	67.5%
1	26	0.2	71%
0	27	0.2	68.5%
1	27	0.2	68%
0	28	0.2	69%
1	28	0.2	69%
0	29	0.2	67.5%
1	29	0.2	67.5%
0	30	0.2	67%
1	30	0.2	69%
0	10	0.15	78%
1	10	0.15	81.5%
0	11	0.15	78.5%
1	11	0.15	82%
0	12	0.15	76%
1	12	0.15	79.5%
0	13	0.15	80.5%
1	13	0.15	80%
0	14	0.15	80.5%
1	14	0.15	71.5%
0	15	0.15	79.5%
1	15	0.15	78%
0	16	0.15	80.5%
1	16	0.15	77.5%
0	17	0.15	81%
1	17	0.15	77.5%
0	18	0.15	77%
1	18	0.15	74.5%
0	19	0.15	76.5%
1	19	0.15	80%
0	20	0.15	78%
1	20	0.15	78.5%
0	21	0.15	78%
1	21	0.15	76%
0	22	0.15	80%
1	22	0.15	80%
0	23	0.15	78.5%
1	23	0.15	79%
0	24	0.15	79.5%
1	24	0.15	81.5%
0	25	0.15	80.5%
1	25	0.15	79%
0	26	0.15	77.5%
1	26	0.15	80%
0	27	0.15	77%
1	27	0.15	79.5%
0	28	0.15	78%
1	28	0.15	80%
0	29	0.15	77.5%
1	29	0.15	79.5%
0	30	0.15	80.5%
1	30	0.15	78.5%
0	10	0.1	77.5%
1	10	0.1	87.5%
0	11	0.1	88.5%
1	11	0.1	88.5%
0	12	0.1	51%
1	12	0.1	87%
0	13	0.1	89.5%
1	13	0.1	86.5%
0	14	0.1	83.5%
1	14	0.1	89.5%
0	15	0.1	88%
1	15	0.1	88.5%
0	16	0.1	89.5%
1	16	0.1	87%
0	17	0.1	88.5%
1	17	0.1	83.5%
0	18	0.1	86%
1	18	0.1	87.5%
0	19	0.1	87%
1	19	0.1	88%
0	20	0.1	86.5%
1	20	0.1	90.5%
0	21	0.1	89.5%
1	21	0.1	87%
0	22	0.1	88%
1	22	0.1	89%
0	23	0.1	74%
1	23	0.1	86.5%
0	24	0.1	86.5%
1	24	0.1	88.5%
0	25	0.1	87.5%
1	25	0.1	87%
0	26	0.1	86.5%
1	26	0.1	89%
0	27	0.1	89.5%
1	27	0.1	88.5%
0	28	0.1	88.5%
1	28	0.1	88.5%
0	29	0.1	87%
1	29	0.1	88.5%
0	30	0.1	88%
1	30	0.1	87.5%
0	10	0.05	92.5%
1	10	0.05	96.5%
0	11	0.05	90%
1	11	0.05	93.5%
0	12	0.05	92%
1	12	0.05	88%
0	13	0.05	88.5%
1	13	0.05	83%
0	14	0.05	95%
1	14	0.05	95.5%
0	15	0.05	95%
1	15	0.05	80%
0	16	0.05	96%
1	16	0.05	95.5%
0	17	0.05	95%
1	17	0.05	94.5%
0	18	0.05	95.5%
1	18	0.05	93.5%
0	19	0.05	51.5%
1	19	0.05	94%
0	20	0.05	95%
1	20	0.05	86.5%
0	21	0.05	92%
1	21	0.05	84%
0	22	0.05	95%
1	22	0.05	96.5%
0	23	0.05	87%
1	23	0.05	96.5%
0	24	0.05	95.5%
1	24	0.05	94.5%
0	25	0.05	90.5%
1	25	0.05	96%
0	26	0.05	96%
1	26	0.05	96%
0	27	0.05	95.5%
1	27	0.05	95.5%
0	28	0.05	95.5%
1	28	0.05	96.5%
0	29	0.05	97%
1	29	0.05	95.5%
0	30	0.05	94.5%
1	30	0.05	95.5%

