Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.55	0.595	0.585	0.575	0.5549999999999999	0.5549999999999999	0.55	0.545	0.5700000000000001	0.585	0.5800000000000001	0.535	0.545	0.565	0.505	0.5549999999999999	0.595	0.585	0.6100000000000001	0.565	0.545	
0.15000000000000002	0.565	0.5349999999999999	0.5249999999999999	0.56	0.59	0.6000000000000001	0.51	0.515	0.5449999999999999	0.5	0.565	0.57	0.55	0.61	0.56	0.63	0.53	0.585	0.525	0.585	0.535	
0.10000000000000002	0.5800000000000001	0.56	0.56	0.6	0.6	0.59	0.6	0.585	0.56	0.585	0.575	0.595	0.605	0.53	0.555	0.56	0.61	0.565	0.59	0.615	0.56	
0.05000000000000002	0.5900000000000001	0.52	0.54	0.6	0.565	0.575	0.605	0.5900000000000001	0.58	0.615	0.565	0.625	0.625	0.585	0.595	0.575	0.565	0.545	0.565	0.5900000000000001	0.605	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	55%
1	10	0.2	55%
0	11	0.2	65%
1	11	0.2	54%
0	12	0.2	63%
1	12	0.2	54%
0	13	0.2	58%
1	13	0.2	57%
0	14	0.2	57%
1	14	0.2	54%
0	15	0.2	59%
1	15	0.2	52%
0	16	0.2	55%
1	16	0.2	55%
0	17	0.2	55%
1	17	0.2	54%
0	18	0.2	61%
1	18	0.2	53%
0	19	0.2	63%
1	19	0.2	54%
0	20	0.2	61%
1	20	0.2	55%
0	21	0.2	53%
1	21	0.2	54%
0	22	0.2	53%
1	22	0.2	56%
0	23	0.2	58%
1	23	0.2	55%
0	24	0.2	48%
1	24	0.2	53%
0	25	0.2	58%
1	25	0.2	53%
0	26	0.2	63%
1	26	0.2	56%
0	27	0.2	62%
1	27	0.2	55%
0	28	0.2	67%
1	28	0.2	55%
0	29	0.2	60%
1	29	0.2	53%
0	30	0.2	53%
1	30	0.2	56%
0	10	0.15	56%
1	10	0.15	57%
0	11	0.15	50%
1	11	0.15	57%
0	12	0.15	48%
1	12	0.15	57%
0	13	0.15	57%
1	13	0.15	55%
0	14	0.15	60%
1	14	0.15	58%
0	15	0.15	64%
1	15	0.15	56%
0	16	0.15	48%
1	16	0.15	54%
0	17	0.15	47%
1	17	0.15	56%
0	18	0.15	50%
1	18	0.15	59%
0	19	0.15	42%
1	19	0.15	58%
0	20	0.15	54%
1	20	0.15	59%
0	21	0.15	57%
1	21	0.15	57%
0	22	0.15	51%
1	22	0.15	59%
0	23	0.15	59%
1	23	0.15	63%
0	24	0.15	56%
1	24	0.15	56%
0	25	0.15	66%
1	25	0.15	60%
0	26	0.15	52%
1	26	0.15	54%
0	27	0.15	59%
1	27	0.15	58%
0	28	0.15	51%
1	28	0.15	54%
0	29	0.15	59%
1	29	0.15	58%
0	30	0.15	52%
1	30	0.15	55%
0	10	0.1	56%
1	10	0.1	60%
0	11	0.1	53%
1	11	0.1	59%
0	12	0.1	56%
1	12	0.1	56%
0	13	0.1	61%
1	13	0.1	59%
0	14	0.1	62%
1	14	0.1	58%
0	15	0.1	59%
1	15	0.1	59%
0	16	0.1	63%
1	16	0.1	57%
0	17	0.1	56%
1	17	0.1	61%
0	18	0.1	58%
1	18	0.1	54%
0	19	0.1	59%
1	19	0.1	58%
0	20	0.1	60%
1	20	0.1	55%
0	21	0.1	59%
1	21	0.1	60%
0	22	0.1	60%
1	22	0.1	61%
0	23	0.1	48%
1	23	0.1	58%
0	24	0.1	55%
1	24	0.1	56%
0	25	0.1	54%
1	25	0.1	58%
0	26	0.1	60%
1	26	0.1	62%
0	27	0.1	62%
1	27	0.1	51%
0	28	0.1	60%
1	28	0.1	58%
0	29	0.1	64%
1	29	0.1	59%
0	30	0.1	54%
1	30	0.1	58%
0	10	0.05	56%
1	10	0.05	62%
0	11	0.05	52%
1	11	0.05	52%
0	12	0.05	49%
1	12	0.05	59%
0	13	0.05	62%
1	13	0.05	58%
0	14	0.05	60%
1	14	0.05	53%
0	15	0.05	62%
1	15	0.05	53%
0	16	0.05	61%
1	16	0.05	60%
0	17	0.05	63%
1	17	0.05	55%
0	18	0.05	59%
1	18	0.05	57%
0	19	0.05	63%
1	19	0.05	60%
0	20	0.05	57%
1	20	0.05	56%
0	21	0.05	67%
1	21	0.05	58%
0	22	0.05	64%
1	22	0.05	61%
0	23	0.05	58%
1	23	0.05	59%
0	24	0.05	64%
1	24	0.05	55%
0	25	0.05	54%
1	25	0.05	61%
0	26	0.05	55%
1	26	0.05	58%
0	27	0.05	55%
1	27	0.05	54%
0	28	0.05	54%
1	28	0.05	59%
0	29	0.05	62%
1	29	0.05	56%
0	30	0.05	63%
1	30	0.05	58%

