Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0,2	0,6701680672268907	0,6762705082032813	0,6731692677070829	0,6917767106842737	0,6768707482993198	0,671468587434974	0,6809723889555821	0,6717687074829932	0,6751700680272109	0,6866746698679472	0,6681672669067625	0,681672669067627	0,6804721888755502	0,6935774309723889	0,6972789115646258	0,6846738695478191	0,6746698679471789	0,6802721088435374	0,6902761104441777	0,6851740696278511	0,6869747899159665	
0,15000000000000002	0,7934173669467787	0,7868147258903561	0,7771108443377351	0,7862144857943177	0,7785114045618248	0,790516206482593	0,7766106442577031	0,78031212484994	0,7971188475390156	0,7965186074429772	0,776610644257703	0,7846138455382153	0,7798119247699079	0,7881152460984394	0,7696078431372548	0,7816126450580233	0,8017206882753101	0,788515406162465	0,781812725090036	0,7933173269307723	0,6985794317727091	
0,10000000000000002	0,8383353341336535	0,8885554221688675	0,8715486194477791	0,8296318527410964	0,8584433773509405	0,8799519807923168	0,8783513405362143	0,8784513805522209	0,8688475390156062	0,876750700280112	0,8853541416566627	0,8782513005202081	0,8814525810324129	0,8849539815926372	0,8796518607442977	0,8784513805522209	0,8760504201680672	0,8814525810324131	0,889655862344938	0,8746498599439776	0,8718487394957983	
0,05000000000000002	0,8372348939575831	0,764905962384954	0,8718487394957983	0,9499799919967987	0,9484793917567028	0,8998599439775911	0,8642456982793117	0,9402761104441777	0,9432773109243696	0,9166666666666666	0,9601840736294518	0,9417767106842737	0,9633853541416567	0,9447779111644657	0,9535814325730293	0,9485794317727091	0,956782713085234	0,9497799119647858	0,9547819127651059	0,9500800320128051	0,9421768707482993	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0,2	67,5%
1	10	0,2	66,51%
2	10	0,2	67,05%
0	11	0,2	69,06%
1	11	0,2	66,42%
2	11	0,2	67,41%
0	12	0,2	66,54%
1	12	0,2	67,47%
2	12	0,2	67,95%
0	13	0,2	69,48%
1	13	0,2	68,52%
2	13	0,2	69,54%
0	14	0,2	68,52%
1	14	0,2	67,56%
2	14	0,2	66,99%
0	15	0,2	68,04%
1	15	0,2	66,45%
2	15	0,2	66,96%
0	16	0,2	67,95%
1	16	0,2	67,89%
2	16	0,2	68,46%
0	17	0,2	65,97%
1	17	0,2	67,5%
2	17	0,2	68,07%
0	18	0,2	67,5%
1	18	0,2	68,01%
2	18	0,2	67,05%
0	19	0,2	69,48%
1	19	0,2	69,57%
2	19	0,2	66,96%
0	20	0,2	65,97%
1	20	0,2	67,5%
2	20	0,2	66,99%
0	21	0,2	67,53%
1	21	0,2	67,47%
2	21	0,2	69,51%
0	22	0,2	68,55%
1	22	0,2	67,5%
2	22	0,2	68,1%
0	23	0,2	71,13%
1	23	0,2	67,5%
2	23	0,2	69,45%
0	24	0,2	72,09%
1	24	0,2	68,58%
2	24	0,2	68,52%
0	25	0,2	66,39%
1	25	0,2	70,02%
2	25	0,2	69%
0	26	0,2	67,5%
1	26	0,2	67,95%
2	26	0,2	66,96%
0	27	0,2	67,53%
1	27	0,2	67,98%
2	27	0,2	68,58%
0	28	0,2	69,12%
1	28	0,2	69,54%
2	28	0,2	68,43%
0	29	0,2	70,14%
1	29	0,2	67,41%
2	29	0,2	68,01%
0	30	0,2	67,47%
1	30	0,2	71,04%
2	30	0,2	67,59%
0	10	0,15	80,52%
1	10	0,15	78,48%
2	10	0,15	79,02%
0	11	0,15	76,11%
1	11	0,15	78,96%
2	11	0,15	80,97%
0	12	0,15	77,07%
1	12	0,15	76,5%
2	12	0,15	79,56%
0	13	0,15	78,66%
1	13	0,15	81,06%
2	13	0,15	76,14%
0	14	0,15	76,59%
1	14	0,15	80,01%
2	14	0,15	76,95%
0	15	0,15	79,59%
1	15	0,15	77,97%
2	15	0,15	79,59%
0	16	0,15	77,46%
1	16	0,15	76,92%
2	16	0,15	78,6%
0	17	0,15	78,57%
1	17	0,15	76,53%
2	17	0,15	78,99%
0	18	0,15	81,12%
1	18	0,15	79,02%
2	18	0,15	78,99%
0	19	0,15	80,46%
1	19	0,15	81,03%
2	19	0,15	77,46%
0	20	0,15	77,61%
1	20	0,15	77,43%
2	20	0,15	77,94%
0	21	0,15	79,02%
1	21	0,15	78,51%
2	21	0,15	77,85%
0	22	0,15	79,5%
1	22	0,15	76,89%
2	22	0,15	77,55%
0	23	0,15	75,99%
1	23	0,15	80,04%
2	23	0,15	80,4%
0	24	0,15	78,51%
1	24	0,15	75,9%
2	24	0,15	76,47%
0	25	0,15	78%
1	25	0,15	77,46%
2	25	0,15	79,02%
0	26	0,15	81,03%
1	26	0,15	79,47%
2	26	0,15	80,01%
0	27	0,15	78,54%
1	27	0,15	77,43%
2	27	0,15	80,58%
0	28	0,15	78,09%
1	28	0,15	76,5%
2	28	0,15	79,95%
0	29	0,15	79,08%
1	29	0,15	80,43%
2	29	0,15	78,48%
0	30	0,15	79,05%
1	30	0,15	80,52%
2	30	0,15	50%
0	10	0,1	84,99%
1	10	0,1	88,51%
2	10	0,1	78%
0	11	0,1	88,51%
1	11	0,1	90,52%
2	11	0,1	87,55%
0	12	0,1	86,46%
1	12	0,1	85,02%
2	12	0,1	89,98%
0	13	0,1	85,56%
1	13	0,1	79,95%
2	13	0,1	83,37%
0	14	0,1	80,49%
1	14	0,1	89,02%
2	14	0,1	88,03%
0	15	0,1	87%
1	15	0,1	87,52%
2	15	0,1	89,47%
0	16	0,1	88,51%
1	16	0,1	87,52%
2	16	0,1	87,48%
0	17	0,1	88,09%
1	17	0,1	85,02%
2	17	0,1	90,43%
0	18	0,1	87,64%
1	18	0,1	86,55%
2	18	0,1	86,46%
0	19	0,1	86,55%
1	19	0,1	88%
2	19	0,1	88,48%
0	20	0,1	89,02%
1	20	0,1	88,57%
2	20	0,1	88,03%
0	21	0,1	88,15%
1	21	0,1	87,45%
2	21	0,1	87,88%
0	22	0,1	87%
1	22	0,1	87,97%
2	22	0,1	89,47%
0	23	0,1	87,97%
1	23	0,1	87,55%
2	23	0,1	89,98%
0	24	0,1	86,55%
1	24	0,1	87,42%
2	24	0,1	89,92%
0	25	0,1	85,59%
1	25	0,1	88,48%
2	25	0,1	89,47%
0	26	0,1	87,94%
1	26	0,1	87,94%
2	26	0,1	86,94%
0	27	0,1	88,48%
1	27	0,1	88,48%
2	27	0,1	87,48%
0	28	0,1	89,02%
1	28	0,1	87,94%
2	28	0,1	89,95%
0	29	0,1	88%
1	29	0,1	87,45%
2	29	0,1	86,94%
0	30	0,1	86,52%
1	30	0,1	88,57%
2	30	0,1	86,46%
0	10	0,05	76,08%
