Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0,2	0,6870772946859904	0,6977053140096618	0,6845410628019324	0,6835748792270531	0,6955314009661835	0,6885265700483091	0,6922705314009662	0,6898550724637681	0,698792270531401	0,6898550724637682	0,682487922705314	0,6993961352657004	0,7	0,6942028985507247	0,6923913043478261	0,685024154589372	0,6920289855072463	
0,15000000000000002	0,7833333333333334	0,8006038647342996	0,8015700483091786	0,798913043478261	0,7998792270531401	0,7995169082125604	0,7980676328502415	0,7927536231884058	0,7817632850241546	0,7983091787439612	0,7963768115942029	0,7997584541062802	0,8107487922705314	0,8019323671497585	0,7978260869565219	0,8055555555555554	0,7890096618357487	
0,10000000000000002	0,8714975845410627	0,8782608695652174	0,8695652173913043	0,8369565217391305	0,881159420289855	0,8815217391304347	0,8868357487922705	0,8855072463768116	0,8842995169082126	0,8856280193236715	0,8893719806763285	0,8800724637681159	0,8939613526570046	0,882487922705314	0,8871980676328501	0,8826086956521738	0,8865942028985507	
0,05000000000000002	0,842512077294686	0,8980676328502415	0,9048309178743962	0,8667874396135264	0,936352657004831	0,9538647342995169	0,9099033816425119	0,9407004830917876	0,9507246376811596	0,94987922705314	0,9560386473429954	0,9335748792270533	0,9565217391304349	0,9571256038647343	0,9535024154589372	0,9544685990338164	0,9629227053140097	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	8	0,2	66,79%
1	8	0,2	68,24%
2	8	0,2	67,63%
3	8	0,2	70,05%
4	8	0,2	68,24%
5	8	0,2	69,08%
6	8	0,2	68,36%
7	8	0,2	68,6%
8	8	0,2	68,84%
9	8	0,2	71,26%
0	9	0,2	70,65%
1	9	0,2	70,53%
2	9	0,2	70,77%
3	9	0,2	72,1%
4	9	0,2	69,32%
5	9	0,2	68,36%
6	9	0,2	69,57%
7	9	0,2	69,93%
8	9	0,2	69,81%
9	9	0,2	66,67%
0	10	0,2	64,98%
1	10	0,2	66,79%
2	10	0,2	66,43%
3	10	0,2	69,81%
4	10	0,2	70,89%
5	10	0,2	68,96%
6	10	0,2	71,86%
7	10	0,2	72,34%
8	10	0,2	65,7%
9	10	0,2	66,79%
0	11	0,2	66,91%
1	11	0,2	68%
2	11	0,2	67,51%
3	11	0,2	68,36%
4	11	0,2	69,57%
5	11	0,2	70,05%
6	11	0,2	66,43%
7	11	0,2	70,65%
8	11	0,2	66,91%
9	11	0,2	69,2%
0	12	0,2	69,32%
1	12	0,2	68,36%
2	12	0,2	69,81%
3	12	0,2	70,05%
4	12	0,2	70,77%
5	12	0,2	67,75%
6	12	0,2	65,1%
7	12	0,2	71,74%
8	12	0,2	72,58%
9	12	0,2	70,05%
0	13	0,2	67,03%
1	13	0,2	67,15%
2	13	0,2	69,44%
3	13	0,2	69,2%
4	13	0,2	68,48%
5	13	0,2	70,65%
6	13	0,2	69,2%
7	13	0,2	69,44%
8	13	0,2	69,69%
9	13	0,2	68,24%
0	14	0,2	67,87%
1	14	0,2	70,65%
2	14	0,2	72,22%
3	14	0,2	67,39%
4	14	0,2	68,12%
5	14	0,2	67,87%
6	14	0,2	69,32%
7	14	0,2	68,36%
8	14	0,2	68,36%
9	14	0,2	72,1%
0	15	0,2	67,75%
1	15	0,2	70,29%
2	15	0,2	69,93%
3	15	0,2	67,27%
4	15	0,2	69,2%
5	15	0,2	72,46%
6	15	0,2	70,77%
7	15	0,2	69,44%
8	15	0,2	68,24%
9	15	0,2	64,49%
0	16	0,2	69,57%
1	16	0,2	69,81%
2	16	0,2	68%
3	16	0,2	67,87%
4	16	0,2	70,17%
5	16	0,2	74,52%
6	16	0,2	68,84%
7	16	0,2	70,77%
8	16	0,2	68,48%
9	16	0,2	70,77%
0	17	0,2	69,32%
1	17	0,2	68,72%
2	17	0,2	68,24%
3	17	0,2	71,5%
4	17	0,2	69,81%
5	17	0,2	67,63%
6	17	0,2	68,48%
7	17	0,2	68,24%
8	17	0,2	68,12%
9	17	0,2	69,81%
0	18	0,2	66,91%
1	18	0,2	68%
2	18	0,2	70,29%
3	18	0,2	68,24%
4	18	0,2	66,55%
5	18	0,2	68%
6	18	0,2	67,63%
7	18	0,2	69,93%
8	18	0,2	67,39%
9	18	0,2	69,57%
0	19	0,2	68,36%
1	19	0,2	69,57%
2	19	0,2	69,69%
3	19	0,2	71,14%
4	19	0,2	68,24%
5	19	0,2	71,26%
6	19	0,2	71,38%
7	19	0,2	71,5%
8	19	0,2	67,39%
9	19	0,2	70,89%
0	20	0,2	72,46%
1	20	0,2	68,96%
2	20	0,2	69,93%
3	20	0,2	68,84%
4	20	0,2	69,2%
5	20	0,2	70,53%
6	20	0,2	70,29%
7	20	0,2	69,81%
8	20	0,2	72,1%
9	20	0,2	67,87%
0	21	0,2	69,08%
1	21	0,2	68,84%
2	21	0,2	68,72%
3	21	0,2	71,38%
4	21	0,2	70,77%
5	21	0,2	66,91%
6	21	0,2	72,22%
7	21	0,2	69,69%
8	21	0,2	68,48%
9	21	0,2	68,12%
0	22	0,2	65,7%
1	22	0,2	70,17%
2	22	0,2	71,38%
3	22	0,2	72,71%
4	22	0,2	66,91%
5	22	0,2	69,32%
6	22	0,2	70,89%
7	22	0,2	68,72%
8	22	0,2	68,48%
9	22	0,2	68,12%
0	23	0,2	70,41%
1	23	0,2	70,17%
2	23	0,2	68,12%
3	23	0,2	70,29%
4	23	0,2	66,3%
5	23	0,2	66,06%
6	23	0,2	66,91%
7	23	0,2	71,62%
8	23	0,2	67,63%
9	23	0,2	67,51%
0	24	0,2	67,75%
1	24	0,2	68%
2	24	0,2	67,27%
3	24	0,2	68,36%
4	24	0,2	69,57%
5	24	0,2	70,65%
6	24	0,2	72,1%
7	24	0,2	69,93%
8	24	0,2	68,96%
9	24	0,2	69,44%
0	8	0,15	76,81%
1	8	0,15	80,8%
2	8	0,15	78,62%
3	8	0,15	68,72%
4	8	0,15	78,38%
5	8	0,15	81,28%
6	8	0,15	80,92%
7	8	0,15	78,99%
8	8	0,15	81,28%
9	8	0,15	77,54%
0	9	0,15	80,43%
1	9	0,15	80,43%
2	9	0,15	79,35%
3	9	0,15	77,66%
4	9	0,15	79,95%
5	9	0,15	79,47%
6	9	0,15	80,07%
7	9	0,15	80,07%
8	9	0,15	80,31%
9	9	0,15	82,85%
0	10	0,15	81,4%
1	10	0,15	79,59%
2	10	0,15	81,52%
3	10	0,15	80,92%
4	10	0,15	80,56%
5	10	0,15	83,09%
6	10	0,15	78,86%
7	10	0,15	79,11%
8	10	0,15	77,66%
9	10	0,15	78,86%
0	11	0,15	81,76%
1	11	0,15	79,71%
2	11	0,15	79,11%
3	11	0,15	79,83%
4	11	0,15	82,97%
5	11	0,15	79,95%
6	11	0,15	78,26%
7	11	0,15	82,97%
8	11	0,15	76,57%
9	11	0,15	77,78%
0	12	0,15	79,47%
1	12	0,15	79,83%
2	12	0,15	80,19%
3	12	0,15	81,16%
4	12	0,15	79,11%
5	12	0,15	81,16%
6	12	0,15	79,35%
7	12	0,15	81,16%
8	12	0,15	79,71%
9	12	0,15	78,74%
0	13	0,15	81,64%
1	13	0,15	79,11%
2	13	0,15	78,26%
3	13	0,15	79,83%
4	13	0,15	80,07%
5	13	0,15	81,64%
6	13	0,15	82,73%
7	13	0,15	78,99%
8	13	0,15	78,74%
9	13	0,15	78,5%
0	14	0,15	78,14%
1	14	0,15	80,43%
2	14	0,15	81,28%
3	14	0,15	77,66%
4	14	0,15	82,37%
5	14	0,15	80,31%
6	14	0,15	80,56%
7	14	0,15	80,68%
8	14	0,15	78,14%
9	14	0,15	78,5%
0	15	0,15	77,78%
1	15	0,15	77,29%
2	15	0,15	79,59%
3	15	0,15	79,95%
4	15	0,15	81,28%
5	15	0,15	81,52%
6	15	0,15	78,62%
7	15	0,15	80,43%
8	15	0,15	79,47%
9	15	0,15	76,81%
0	16	0,15	76,69%
1	16	0,15	77,66%
2	16	0,15	78,02%
3	16	0,15	79,83%
4	16	0,15	76,69%
5	16	0,15	78,14%
6	16	0,15	77,05%
7	16	0,15	81,76%
8	16	0,15	79,23%
9	16	0,15	76,69%
0	17	0,15	78,99%
1	17	0,15	78,26%
2	17	0,15	81,64%
3	17	0,15	80,31%
4	17	0,15	80,92%
5	17	0,15	79,11%
6	17	0,15	76,69%
7	17	0,15	81,76%
8	17	0,15	79,47%
9	17	0,15	81,16%
0	18	0,15	82,25%
1	18	0,15	79,35%
2	18	0,15	79,35%
3	18	0,15	79,11%
4	18	0,15	81,16%
5	18	0,15	79,71%
6	18	0,15	78,74%
