Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0.2	0.6543543543543543	0.6045045045045045	0.6316816816816817	0.6153153153153154	0.5768768768768769	0.6154654654654654	0.5713213213213214	0.6097597597597598	0.6651651651651651	0.6264264264264264	0.5990990990990992	0.5933933933933935	0.5719219219219219	0.5490990990990992	0.615015015015015	0.5981981981981982	0.5932432432432433	
0.15000000000000002	0.6036036036036037	0.5879879879879881	0.6366366366366367	0.6033033033033034	0.5821321321321321	0.6202702702702703	0.6145645645645645	0.5983483483483483	0.6423423423423423	0.6091591591591591	0.6099099099099099	0.61996996996997	0.6148648648648649	0.6373873873873874	0.6151651651651651	0.6417417417417417	0.6207207207207207	
0.10000000000000002	0.6481981981981981	0.6091591591591592	0.6528528528528529	0.5930930930930931	0.5767267267267268	0.6042042042042042	0.6258258258258258	0.6037537537537537	0.5926426426426427	0.5927927927927927	0.6097597597597597	0.5929429429429429	0.6755255255255255	0.5983483483483484	0.6039039039039039	0.6531531531531531	0.6145645645645645	
0.05000000000000002	0.6420420420420421	0.6313813813813813	0.6151651651651651	0.6312312312312313	0.6743243243243243	0.5984984984984985	0.6528528528528529	0.6423423423423424	0.6644144144144144	0.6635135135135135	0.6585585585585586	0.6424924924924925	0.5932432432432433	0.6480480480480479	0.6093093093093094	0.5489489489489489	0.6253753753753755	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	8	0.2	59.46%
1	8	0.2	62.16%
2	8	0.2	66.67%
3	8	0.2	72.22%
4	8	0.2	66.67%
0	9	0.2	64.86%
1	9	0.2	54.05%
2	9	0.2	63.89%
3	9	0.2	58.33%
4	9	0.2	61.11%
0	10	0.2	64.86%
1	10	0.2	64.86%
2	10	0.2	69.44%
3	10	0.2	58.33%
4	10	0.2	58.33%
0	11	0.2	54.05%
1	11	0.2	70.27%
2	11	0.2	61.11%
3	11	0.2	63.89%
4	11	0.2	58.33%
0	12	0.2	56.76%
1	12	0.2	59.46%
2	12	0.2	55.56%
3	12	0.2	55.56%
4	12	0.2	61.11%
0	13	0.2	59.46%
1	13	0.2	62.16%
2	13	0.2	66.67%
3	13	0.2	61.11%
4	13	0.2	58.33%
0	14	0.2	56.76%
1	14	0.2	59.46%
2	14	0.2	58.33%
3	14	0.2	52.78%
4	14	0.2	58.33%
0	15	0.2	64.86%
1	15	0.2	59.46%
2	15	0.2	58.33%
3	15	0.2	66.67%
4	15	0.2	55.56%
0	16	0.2	67.57%
1	16	0.2	59.46%
2	16	0.2	66.67%
3	16	0.2	72.22%
4	16	0.2	66.67%
0	17	0.2	62.16%
1	17	0.2	62.16%
2	17	0.2	66.67%
3	17	0.2	72.22%
4	17	0.2	50%
0	18	0.2	62.16%
1	18	0.2	54.05%
2	18	0.2	55.56%
3	18	0.2	69.44%
4	18	0.2	58.33%
0	19	0.2	59.46%
1	19	0.2	59.46%
2	19	0.2	61.11%
3	19	0.2	61.11%
4	19	0.2	55.56%
0	20	0.2	54.05%
1	20	0.2	51.35%
2	20	0.2	61.11%
3	20	0.2	63.89%
4	20	0.2	55.56%
0	21	0.2	59.46%
1	21	0.2	56.76%
2	21	0.2	63.89%
