Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0.2	0.5659340659340659	0.5274725274725275	0.5054945054945055	0.554945054945055	0.5054945054945055	0.48901098901098905	0.5714285714285714	0.5439560439560439	0.5384615384615384	0.5054945054945055	0.510989010989011	0.5659340659340659	0.5219780219780219	0.5274725274725275	0.5164835164835164	0.5164835164835165	0.5274725274725275	
0.15000000000000002	0.5824175824175825	0.543956043956044	0.5164835164835165	0.5384615384615384	0.5659340659340659	0.6043956043956044	0.5714285714285714	0.5604395604395604	0.5714285714285714	0.5329670329670331	0.554945054945055	0.554945054945055	0.5384615384615384	0.5769230769230769	0.5659340659340659	0.5714285714285714	0.5769230769230769	
0.10000000000000002	0.5879120879120878	0.5494505494505495	0.5604395604395604	0.521978021978022	0.5934065934065934	0.554945054945055	0.5934065934065934	0.543956043956044	0.554945054945055	0.5934065934065934	0.5769230769230769	0.543956043956044	0.5824175824175823	0.6263736263736264	0.6098901098901099	0.5714285714285714	0.5494505494505495	
0.05000000000000002	0.5329670329670331	0.5604395604395604	0.5604395604395604	0.543956043956044	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.6153846153846154	0.5824175824175823	0.5659340659340659	0.6208791208791209	0.5879120879120878	0.6153846153846154	0.6098901098901099	0.543956043956044	0.5879120879120878	0.5659340659340659	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	8	0.2	49.45%
1	8	0.2	63.74%
0	9	0.2	52.75%
1	9	0.2	52.75%
0	10	0.2	49.45%
1	10	0.2	51.65%
0	11	0.2	47.25%
1	11	0.2	63.74%
0	12	0.2	48.35%
1	12	0.2	52.75%
0	13	0.2	49.45%
1	13	0.2	48.35%
0	14	0.2	52.75%
1	14	0.2	61.54%
0	15	0.2	48.35%
1	15	0.2	60.44%
0	16	0.2	48.35%
1	16	0.2	59.34%
0	17	0.2	48.35%
1	17	0.2	52.75%
0	18	0.2	48.35%
1	18	0.2	53.85%
0	19	0.2	47.25%
1	19	0.2	65.93%
0	20	0.2	50.55%
1	20	0.2	53.85%
0	21	0.2	47.25%
1	21	0.2	58.24%
0	22	0.2	50.55%
1	22	0.2	52.75%
0	23	0.2	48.35%
1	23	0.2	54.95%
0	24	0.2	50.55%
1	24	0.2	54.95%
0	8	0.15	61.54%
1	8	0.15	54.95%
0	9	0.15	54.95%
1	9	0.15	53.85%
0	10	0.15	58.24%
1	10	0.15	45.05%
0	11	0.15	53.85%
1	11	0.15	53.85%
0	12	0.15	56.04%
1	12	0.15	57.14%
0	13	0.15	57.14%
1	13	0.15	63.74%
0	14	0.15	51.65%
1	14	0.15	62.64%
0	15	0.15	53.85%
1	15	0.15	58.24%
0	16	0.15	59.34%
1	16	0.15	54.95%
0	17	0.15	54.95%
1	17	0.15	51.65%
0	18	0.15	48.35%
1	18	0.15	62.64%
0	19	0.15	59.34%
1	19	0.15	51.65%
0	20	0.15	53.85%
1	20	0.15	53.85%
0	21	0.15	57.14%
1	21	0.15	58.24%
0	22	0.15	58.24%
1	22	0.15	54.95%
0	23	0.15	54.95%
1	23	0.15	59.34%
0	24	0.15	59.34%
1	24	0.15	56.04%
0	8	0.1	57.14%
1	8	0.1	60.44%
0	9	0.1	53.85%
1	9	0.1	56.04%
0	10	0.1	53.85%
1	10	0.1	58.24%
0	11	0.1	49.45%
1	11	0.1	54.95%
0	12	0.1	61.54%
1	12	0.1	57.14%
0	13	0.1	56.04%
1	13	0.1	54.95%
0	14	0.1	62.64%
1	14	0.1	56.04%
0	15	0.1	54.95%
1	15	0.1	53.85%
0	16	0.1	54.95%
1	16	0.1	56.04%
0	17	0.1	57.14%
1	17	0.1	61.54%
0	18	0.1	59.34%
1	18	0.1	56.04%
0	19	0.1	54.95%
1	19	0.1	53.85%
0	20	0.1	59.34%
1	20	0.1	57.14%
0	21	0.1	58.24%
1	21	0.1	67.03%
0	22	0.1	57.14%
1	22	0.1	64.84%
0	23	0.1	59.34%
1	23	0.1	54.95%
0	24	0.1	57.14%
1	24	0.1	52.75%
0	8	0.05	54.95%
1	8	0.05	51.65%
0	9	0.05	58.24%
1	9	0.05	53.85%
0	10	0.05	59.34%
1	10	0.05	52.75%
0	11	0.05	56.04%
1	11	0.05	52.75%
0	12	0.05	58.24%
1	12	0.05	56.04%
0	13	0.05	64.84%
1	13	0.05	49.45%
0	14	0.05	56.04%
1	14	0.05	58.24%
0	15	0.05	60.44%
1	15	0.05	62.64%
0	16	0.05	56.04%
1	16	0.05	60.44%
0	17	0.05	57.14%
1	17	0.05	56.04%
0	18	0.05	64.84%
1	18	0.05	59.34%
0	19	0.05	63.74%
1	19	0.05	53.85%
0	20	0.05	54.95%
1	20	0.05	68.13%
0	21	0.05	61.54%
1	21	0.05	60.44%
0	22	0.05	56.04%
1	22	0.05	52.75%
0	23	0.05	60.44%
1	23	0.05	57.14%
0	24	0.05	62.64%
1	24	0.05	50.55%

