Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0.2	0.6413913913913913	0.6604104104104104	0.6691691691691691	0.6599099099099099	0.668918918918919	0.6416416416416416	0.668918918918919	0.6599099099099099	0.6779279279279279	0.6794294294294293	0.7244744744744746	0.66991991991992	0.6874374374374375	0.6781781781781783	0.6509009009009009	0.6781781781781783	0.6876876876876876	
0.15000000000000002	0.7887887887887888	0.7515015015015015	0.7977977977977978	0.7975475475475475	0.7422422422422422	0.825075075075075	0.7515015015015014	0.7697697697697699	0.7695195195195196	0.7427427427427427	0.7977977977977978	0.7975475475475475	0.7702702702702703	0.8155655655655657	0.7880380380380382	0.7332332332332333	0.7977977977977978	
0.10000000000000002	0.76001001001001	0.7697697697697697	0.8068068068068067	0.7605105105105104	0.6884384384384384	0.7885385385385385	0.7885385385385386	0.7885385385385386	0.7517517517517517	0.8065565565565566	0.8065565565565566	0.7522522522522522	0.7695195195195196	0.7882882882882883	0.7975475475475475	0.7697697697697697	0.7520020020020021	
0.05000000000000002	0.7062062062062062	0.6964464464464465	0.77002002002002	0.7970470470470471	0.7244744744744746	0.7342342342342342	0.723973973973974	0.7980480480480482	0.6891891891891891	0.7882882882882883	0.6529029029029029	0.7605105105105104	0.7427427427427427	0.7234734734734735	0.7697697697697697	0.7329829829829829	0.7797797797797799	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	8	0.2	72.97%
1	8	0.2	66.67%
2	8	0.2	52.78%
0	9	0.2	67.57%
1	9	0.2	66.67%
2	9	0.2	63.89%
0	10	0.2	72.97%
1	10	0.2	66.67%
2	10	0.2	61.11%
0	11	0.2	72.97%
1	11	0.2	63.89%
2	11	0.2	61.11%
0	12	0.2	75.68%
1	12	0.2	66.67%
2	12	0.2	58.33%
0	13	0.2	70.27%
1	13	0.2	63.89%
2	13	0.2	58.33%
0	14	0.2	75.68%
1	14	0.2	63.89%
2	14	0.2	61.11%
0	15	0.2	72.97%
1	15	0.2	66.67%
2	15	0.2	58.33%
0	16	0.2	78.38%
1	16	0.2	63.89%
2	16	0.2	61.11%
0	17	0.2	62.16%
1	17	0.2	66.67%
2	17	0.2	75%
0	18	0.2	75.68%
1	18	0.2	63.89%
2	18	0.2	77.78%
0	19	0.2	64.86%
1	19	0.2	66.67%
2	19	0.2	69.44%
0	20	0.2	75.68%
1	20	0.2	66.67%
2	20	0.2	63.89%
0	21	0.2	75.68%
1	21	0.2	66.67%
2	21	0.2	61.11%
0	22	0.2	70.27%
1	22	0.2	66.67%
2	22	0.2	58.33%
0	23	0.2	75.68%
1	23	0.2	66.67%
2	23	0.2	61.11%
0	24	0.2	72.97%
1	24	0.2	66.67%
2	24	0.2	66.67%
0	8	0.15	81.08%
1	8	0.15	69.44%
2	8	0.15	86.11%
0	9	0.15	83.78%
1	9	0.15	66.67%
2	9	0.15	75%
0	10	0.15	83.78%
1	10	0.15	69.44%
2	10	0.15	86.11%
0	11	0.15	86.49%
1	11	0.15	72.22%
2	11	0.15	80.56%
0	12	0.15	83.78%
1	12	0.15	61.11%
2	12	0.15	77.78%
0	13	0.15	89.19%
1	13	0.15	72.22%
2	13	0.15	86.11%
0	14	0.15	83.78%
1	14	0.15	63.89%
2	14	0.15	77.78%
0	15	0.15	86.49%
1	15	0.15	63.89%
2	15	0.15	80.56%
0	16	0.15	89.19%
1	16	0.15	63.89%
2	16	0.15	77.78%
