Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0.2	0.6695906432748538	0.7241715399610137	0.6418128654970761	0.7246588693957116	0.6705653021442495	0.7241715399610137	0.6876218323586745	0.6963937621832358	0.6968810916179337	0.669103313840156	0.6881091617933723	0.669103313840156	0.6871345029239767	0.6968810916179337	0.6963937621832358	0.7149122807017544	0.6783625730994153	
0.15000000000000002	0.7612085769980507	0.7884990253411307	0.7782651072124757	0.7875243664717347	0.7792397660818713	0.8245614035087719	0.8153021442495126	0.8070175438596491	0.8060428849902533	0.787524366471735	0.7792397660818714	0.7977582846003899	0.8157894736842106	0.8070175438596491	0.797270955165692	0.7792397660818713	0.7889863547758283	
0.10000000000000002	0.7236842105263158	0.7612085769980507	0.7509746588693957	0.7144249512670564	0.8070175438596491	0.7509746588693957	0.7787524366471734	0.7524366471734893	0.7709551656920078	0.780214424951267	0.7607212475633528	0.77046783625731	0.7426900584795323	0.7699805068226121	0.7967836257309941	0.686159844054581	0.7241715399610137	
0.05000000000000002	0.6496101364522419	0.8167641325536062	0.7597465886939573	0.7621832358674464	0.7709551656920078	0.6871345029239767	0.7607212475633528	0.7621832358674464	0.7880116959064328	0.7787524366471735	0.7514619883040935	0.7056530214424952	0.733430799220273	0.7612085769980507	0.7602339181286549	0.71588693957115	0.780214424951267	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	8	0.2	68.42%
1	8	0.2	61.11%
2	8	0.2	61.11%
3	8	0.2	72.22%
4	8	0.2	61.11%
5	8	0.2	77.78%
0	9	0.2	78.95%
1	9	0.2	72.22%
2	9	0.2	72.22%
3	9	0.2	77.78%
4	9	0.2	55.56%
5	9	0.2	77.78%
0	10	0.2	68.42%
1	10	0.2	61.11%
2	10	0.2	61.11%
3	10	0.2	66.67%
4	10	0.2	55.56%
5	10	0.2	72.22%
0	11	0.2	73.68%
1	11	0.2	72.22%
2	11	0.2	77.78%
3	11	0.2	72.22%
4	11	0.2	61.11%
5	11	0.2	77.78%
0	12	0.2	57.89%
1	12	0.2	72.22%
2	12	0.2	77.78%
3	12	0.2	66.67%
4	12	0.2	61.11%
5	12	0.2	66.67%
0	13	0.2	78.95%
1	13	0.2	66.67%
2	13	0.2	77.78%
3	13	0.2	72.22%
4	13	0.2	61.11%
5	13	0.2	77.78%
0	14	0.2	73.68%
1	14	0.2	72.22%
2	14	0.2	72.22%
3	14	0.2	72.22%
4	14	0.2	61.11%
5	14	0.2	61.11%
0	15	0.2	78.95%
1	15	0.2	72.22%
2	15	0.2	72.22%
3	15	0.2	72.22%
4	15	0.2	61.11%
5	15	0.2	61.11%
0	16	0.2	73.68%
1	16	0.2	72.22%
2	16	0.2	72.22%
3	16	0.2	72.22%
4	16	0.2	61.11%
5	16	0.2	66.67%
0	17	0.2	73.68%
1	17	0.2	72.22%
2	17	0.2	66.67%
3	17	0.2	72.22%
4	17	0.2	61.11%
5	17	0.2	55.56%
0	18	0.2	68.42%
1	18	0.2	72.22%
2	18	0.2	77.78%
3	18	0.2	72.22%
4	18	0.2	61.11%
5	18	0.2	61.11%
0	19	0.2	73.68%
1	19	0.2	61.11%
2	19	0.2	61.11%
3	19	0.2	72.22%
4	19	0.2	61.11%
5	19	0.2	72.22%
0	20	0.2	78.95%
1	20	0.2	61.11%
2	20	0.2	61.11%
3	20	0.2	72.22%
4	20	0.2	61.11%
5	20	0.2	77.78%
0	21	0.2	73.68%
1	21	0.2	72.22%
2	21	0.2	66.67%
3	21	0.2	72.22%
4	21	0.2	61.11%
5	21	0.2	72.22%
0	22	0.2	78.95%
1	22	0.2	66.67%
2	22	0.2	61.11%
3	22	0.2	77.78%
4	22	0.2	61.11%
5	22	0.2	72.22%
0	23	0.2	78.95%
1	23	0.2	72.22%
2	23	0.2	72.22%
3	23	0.2	66.67%
4	23	0.2	61.11%
5	23	0.2	77.78%
0	24	0.2	73.68%
1	24	0.2	66.67%
2	24	0.2	61.11%
3	24	0.2	72.22%
4	24	0.2	66.67%
5	24	0.2	66.67%
0	8	0.15	78.95%
1	8	0.15	61.11%
2	8	0.15	83.33%
3	8	0.15	83.33%
4	8	0.15	61.11%
5	8	0.15	88.89%
0	9	0.15	84.21%
1	9	0.15	72.22%
2	9	0.15	77.78%
3	9	0.15	94.44%
4	9	0.15	66.67%
5	9	0.15	77.78%
0	10	0.15	94.74%
1	10	0.15	61.11%
2	10	0.15	83.33%
3	10	0.15	83.33%
4	10	0.15	66.67%
5	10	0.15	77.78%
0	11	0.15	94.74%
1	11	0.15	66.67%
2	11	0.15	83.33%
3	11	0.15	77.78%
4	11	0.15	66.67%
5	11	0.15	83.33%
0	12	0.15	84.21%
1	12	0.15	66.67%
2	12	0.15	83.33%
3	12	0.15	77.78%
4	12	0.15	66.67%
5	12	0.15	88.89%
0	13	0.15	94.74%
1	13	0.15	66.67%
2	13	0.15	83.33%
3	13	0.15	88.89%
4	13	0.15	72.22%
5	13	0.15	88.89%
0	14	0.15	94.74%
1	14	0.15	72.22%
