Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0.2	0.6882154882154883	0.7065656565656566	0.688047138047138	0.7158249158249158	0.7156565656565657	0.7158249158249158	0.6877104377104377	0.6696969696969697	0.7063973063973064	0.724915824915825	0.7062289562289563	0.7065656565656566	0.6696969696969697	0.6882154882154883	0.7250841750841751	0.7156565656565657	0.7063973063973064	
0.15000000000000002	0.7343434343434343	0.7981481481481482	0.8257575757575758	0.7986531986531986	0.8072390572390573	0.8257575757575758	0.8351851851851853	0.8075757575757576	0.8257575757575758	0.835016835016835	0.8166666666666667	0.8166666666666667	0.8072390572390573	0.7797979797979798	0.807070707070707	0.7616161616161616	0.7978114478114477	
0.10000000000000002	0.7526936026936026	0.7895622895622896	0.844107744107744	0.807070707070707	0.7984848484848486	0.797979797979798	0.7616161616161616	0.7702020202020202	0.7981481481481482	0.7801346801346801	0.7796296296296297	0.7617845117845118	0.7893939393939394	0.7521885521885522	0.7434343434343434	0.7796296296296297	0.7892255892255893	
0.05000000000000002	0.7707070707070707	0.6883838383838383	0.7614478114478115	0.6705387205387205	0.7436026936026936	0.8074074074074074	0.7341750841750843	0.6784511784511784	0.771043771043771	0.7892255892255893	0.734006734006734	0.7712121212121212	0.7707070707070707	0.7616161616161616	0.77996632996633	0.7614478114478115	0.7521885521885522	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	8	0.2	67.27%
1	8	0.2	70.37%
0	9	0.2	69.09%
1	9	0.2	72.22%
0	10	0.2	69.09%
1	10	0.2	68.52%
0	11	0.2	69.09%
1	11	0.2	74.07%
0	12	0.2	70.91%
1	12	0.2	72.22%
0	13	0.2	69.09%
1	13	0.2	74.07%
0	14	0.2	72.73%
1	14	0.2	64.81%
0	15	0.2	67.27%
1	15	0.2	66.67%
0	16	0.2	70.91%
1	16	0.2	70.37%
0	17	0.2	70.91%
1	17	0.2	74.07%
0	18	0.2	72.73%
1	18	0.2	68.52%
0	19	0.2	69.09%
1	19	0.2	72.22%
0	20	0.2	67.27%
1	20	0.2	66.67%
0	21	0.2	67.27%
1	21	0.2	70.37%
0	22	0.2	69.09%
1	22	0.2	75.93%
0	23	0.2	70.91%
1	23	0.2	72.22%
0	24	0.2	70.91%
1	24	0.2	70.37%
0	8	0.15	69.09%
1	8	0.15	77.78%
0	9	0.15	80%
1	9	0.15	79.63%
0	10	0.15	81.82%
1	10	0.15	83.33%
0	11	0.15	74.55%
1	11	0.15	85.19%
0	12	0.15	81.82%
1	12	0.15	79.63%
0	13	0.15	81.82%
1	13	0.15	83.33%
0	14	0.15	80%
1	14	0.15	87.04%
0	15	0.15	78.18%
1	15	0.15	83.33%
0	16	0.15	81.82%
1	16	0.15	83.33%
0	17	0.15	81.82%
1	17	0.15	85.19%
0	18	0.15	80%
1	18	0.15	83.33%
0	19	0.15	80%
1	19	0.15	83.33%
0	20	0.15	81.82%
1	20	0.15	79.63%
0	21	0.15	78.18%
1	21	0.15	77.78%
0	22	0.15	83.64%
1	22	0.15	77.78%
0	23	0.15	74.55%
1	23	0.15	77.78%
0	24	0.15	83.64%
1	24	0.15	75.93%
0	8	0.1	70.91%
1	8	0.1	79.63%
0	9	0.1	72.73%
1	9	0.1	85.19%
0	10	0.1	83.64%
1	10	0.1	85.19%
0	11	0.1	83.64%
1	11	0.1	77.78%
0	12	0.1	76.36%
1	12	0.1	83.33%
0	13	0.1	81.82%
1	13	0.1	77.78%
0	14	0.1	74.55%
1	14	0.1	77.78%
0	15	0.1	81.82%
1	15	0.1	72.22%
0	16	0.1	80%
1	16	0.1	79.63%
0	17	0.1	74.55%
1	17	0.1	81.48%
0	18	0.1	80%
1	18	0.1	75.93%
0	19	0.1	72.73%
1	19	0.1	79.63%
0	20	0.1	74.55%
1	20	0.1	83.33%
0	21	0.1	76.36%
1	21	0.1	74.07%
0	22	0.1	70.91%
1	22	0.1	77.78%
0	23	0.1	80%
1	23	0.1	75.93%
0	24	0.1	76.36%
1	24	0.1	81.48%
0	8	0.05	76.36%
1	8	0.05	77.78%
0	9	0.05	65.45%
1	9	0.05	72.22%
0	10	0.05	76.36%
1	10	0.05	75.93%
0	11	0.05	58.18%
1	11	0.05	75.93%
0	12	0.05	69.09%
1	12	0.05	79.63%
0	13	0.05	80%
1	13	0.05	81.48%
0	14	0.05	70.91%
1	14	0.05	75.93%
0	15	0.05	72.73%
1	15	0.05	62.96%
0	16	0.05	72.73%
1	16	0.05	81.48%
0	17	0.05	76.36%
1	17	0.05	81.48%
0	18	0.05	72.73%
1	18	0.05	74.07%
0	19	0.05	70.91%
1	19	0.05	83.33%
0	20	0.05	76.36%
1	20	0.05	77.78%
0	21	0.05	74.55%
1	21	0.05	77.78%
0	22	0.05	76.36%
1	22	0.05	79.63%
0	23	0.05	76.36%
1	23	0.05	75.93%
0	24	0.05	76.36%
1	24	0.05	74.07%

