Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0.2	0.706043956043956	0.7087912087912088	0.6895604395604396	0.695054945054945	0.695054945054945	0.7087912087912088	0.695054945054945	0.717032967032967	0.706043956043956	0.7032967032967032	0.6785714285714286	0.6895604395604396	0.6923076923076923	0.695054945054945	0.717032967032967	0.6978021978021978	0.7142857142857142	
0.15000000000000002	0.804945054945055	0.7335164835164835	0.8076923076923077	0.7774725274725275	0.8021978021978022	0.8131868131868132	0.7912087912087912	0.7912087912087912	0.7912087912087913	0.8021978021978022	0.793956043956044	0.804945054945055	0.7912087912087912	0.8021978021978022	0.804945054945055	0.7884615384615384	0.7802197802197802	
0.10000000000000002	0.8461538461538461	0.8873626373626373	0.8489010989010989	0.8873626373626373	0.8736263736263736	0.8434065934065933	0.8873626373626373	0.8873626373626373	0.9010989010989011	0.8956043956043955	0.8901098901098901	0.8956043956043955	0.8873626373626373	0.8708791208791209	0.8901098901098901	0.8791208791208791	0.8901098901098901	
0.05000000000000002	0.9395604395604396	0.8131868131868132	0.8818681318681318	0.9587912087912087	0.8351648351648351	0.945054945054945	0.9615384615384616	0.9615384615384616	0.9587912087912088	0.8021978021978022	0.9505494505494505	0.956043956043956	0.9587912087912088	0.9532967032967032	0.9505494505494505	0.9642857142857143	0.9532967032967032	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	8	0.2	69.78%
1	8	0.2	71.43%
0	9	0.2	70.33%
1	9	0.2	71.43%
0	10	0.2	70.33%
1	10	0.2	67.58%
0	11	0.2	69.78%
1	11	0.2	69.23%
0	12	0.2	68.68%
1	12	0.2	70.33%
0	13	0.2	70.33%
1	13	0.2	71.43%
0	14	0.2	67.58%
1	14	0.2	71.43%
0	15	0.2	70.33%
1	15	0.2	73.08%
0	16	0.2	71.98%
1	16	0.2	69.23%
0	17	0.2	72.53%
1	17	0.2	68.13%
0	18	0.2	70.33%
1	18	0.2	65.38%
0	19	0.2	69.23%
1	19	0.2	68.68%
0	20	0.2	67.58%
1	20	0.2	70.88%
0	21	0.2	69.78%
1	21	0.2	69.23%
0	22	0.2	73.08%
1	22	0.2	70.33%
0	23	0.2	70.88%
1	23	0.2	68.68%
0	24	0.2	69.78%
1	24	0.2	73.08%
0	8	0.15	80.22%
1	8	0.15	80.77%
0	9	0.15	79.67%
1	9	0.15	67.03%
0	10	0.15	79.67%
1	10	0.15	81.87%
0	11	0.15	81.87%
1	11	0.15	73.63%
0	12	0.15	79.12%
1	12	0.15	81.32%
0	13	0.15	82.97%
1	13	0.15	79.67%
0	14	0.15	79.67%
1	14	0.15	78.57%
0	15	0.15	79.67%
1	15	0.15	78.57%
0	16	0.15	78.02%
1	16	0.15	80.22%
0	17	0.15	80.22%
1	17	0.15	80.22%
0	18	0.15	80.22%
1	18	0.15	78.57%
0	19	0.15	80.22%
1	19	0.15	80.77%
0	20	0.15	79.12%
1	20	0.15	79.12%
0	21	0.15	81.32%
1	21	0.15	79.12%
0	22	0.15	81.32%
1	22	0.15	79.67%
0	23	0.15	78.02%
1	23	0.15	79.67%
0	24	0.15	76.92%
1	24	0.15	79.12%
0	8	0.1	80.77%
1	8	0.1	88.46%
0	9	0.1	87.91%
1	9	0.1	89.56%
0	10	0.1	87.91%
1	10	0.1	81.87%
0	11	0.1	87.91%
1	11	0.1	89.56%
0	12	0.1	86.81%
1	12	0.1	87.91%
0	13	0.1	89.01%
1	13	0.1	79.67%
0	14	0.1	89.01%
1	14	0.1	88.46%
0	15	0.1	87.91%
1	15	0.1	89.56%
0	16	0.1	89.56%
1	16	0.1	90.66%
0	17	0.1	90.66%
1	17	0.1	88.46%
0	18	0.1	89.56%
1	18	0.1	88.46%
0	19	0.1	89.01%
1	19	0.1	90.11%
0	20	0.1	89.01%
1	20	0.1	88.46%
0	21	0.1	89.01%
1	21	0.1	85.16%
0	22	0.1	88.46%
1	22	0.1	89.56%
0	23	0.1	87.36%
1	23	0.1	88.46%
0	24	0.1	91.21%
1	24	0.1	86.81%
0	8	0.05	92.31%
1	8	0.05	95.6%
0	9	0.05	69.78%
1	9	0.05	92.86%
0	10	0.05	81.87%
1	10	0.05	94.51%
0	11	0.05	96.7%
1	11	0.05	95.05%
0	12	0.05	93.96%
1	12	0.05	73.08%
0	13	0.05	95.05%
1	13	0.05	93.96%
0	14	0.05	96.15%
1	14	0.05	96.15%
0	15	0.05	96.15%
1	15	0.05	96.15%
0	16	0.05	96.15%
1	16	0.05	95.6%
0	17	0.05	64.29%
1	17	0.05	96.15%
0	18	0.05	95.05%
1	18	0.05	95.05%
0	19	0.05	97.25%
1	19	0.05	93.96%
0	20	0.05	95.6%
1	20	0.05	96.15%
0	21	0.05	94.51%
1	21	0.05	96.15%
0	22	0.05	94.51%
1	22	0.05	95.6%
0	23	0.05	96.15%
1	23	0.05	96.7%
0	24	0.05	95.6%
1	24	0.05	95.05%

