Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0.2	0.5274725274725275	0.5	0.554945054945055	0.510989010989011	0.5	0.5164835164835164	0.5	0.5054945054945055	0.5494505494505495	0.5494505494505495	0.5164835164835165	0.48901098901098905	0.5164835164835164	0.510989010989011	0.5164835164835165	0.532967032967033	0.5439560439560439	
0.15000000000000002	0.5934065934065934	0.532967032967033	0.5659340659340659	0.5329670329670331	0.554945054945055	0.5769230769230769	0.5714285714285714	0.5714285714285714	0.5604395604395604	0.5494505494505495	0.5659340659340659	0.5219780219780219	0.48901098901098905	0.5879120879120879	0.4945054945054945	0.510989010989011	0.532967032967033	
0.10000000000000002	0.5824175824175823	0.6153846153846154	0.5824175824175825	0.5879120879120878	0.5604395604395604	0.6263736263736264	0.510989010989011	0.543956043956044	0.5659340659340659	0.6043956043956045	0.5714285714285714	0.5769230769230769	0.521978021978022	0.6263736263736264	0.554945054945055	0.5879120879120879	0.554945054945055	
0.05000000000000002	0.5769230769230769	0.6043956043956045	0.5714285714285714	0.6318681318681318	0.5989010989010989	0.5769230769230769	0.6043956043956045	0.543956043956044	0.5934065934065934	0.6208791208791209	0.5714285714285714	0.5659340659340659	0.5494505494505495	0.5879120879120879	0.6098901098901099	0.5494505494505495	0.6483516483516484	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	8	0.2	48.35%
1	8	0.2	57.14%
0	9	0.2	49.45%
1	9	0.2	50.55%
0	10	0.2	48.35%
1	10	0.2	62.64%
0	11	0.2	52.75%
1	11	0.2	49.45%
0	12	0.2	49.45%
1	12	0.2	50.55%
0	13	0.2	47.25%
1	13	0.2	56.04%
0	14	0.2	47.25%
1	14	0.2	52.75%
0	15	0.2	48.35%
1	15	0.2	52.75%
0	16	0.2	48.35%
1	16	0.2	61.54%
0	17	0.2	47.25%
1	17	0.2	62.64%
0	18	0.2	48.35%
1	18	0.2	54.95%
0	19	0.2	49.45%
1	19	0.2	48.35%
0	20	0.2	49.45%
1	20	0.2	53.85%
0	21	0.2	50.55%
1	21	0.2	51.65%
0	22	0.2	48.35%
1	22	0.2	54.95%
0	23	0.2	46.15%
1	23	0.2	60.44%
0	24	0.2	48.35%
1	24	0.2	60.44%
0	8	0.15	58.24%
1	8	0.15	60.44%
0	9	0.15	53.85%
1	9	0.15	52.75%
0	10	0.15	57.14%
1	10	0.15	56.04%
0	11	0.15	54.95%
1	11	0.15	51.65%
0	12	0.15	56.04%
1	12	0.15	54.95%
0	13	0.15	59.34%
1	13	0.15	56.04%
0	14	0.15	58.24%
1	14	0.15	56.04%
0	15	0.15	59.34%
1	15	0.15	54.95%
0	16	0.15	56.04%
1	16	0.15	56.04%
0	17	0.15	57.14%
1	17	0.15	52.75%
0	18	0.15	54.95%
1	18	0.15	58.24%
0	19	0.15	53.85%
1	19	0.15	50.55%
0	20	0.15	49.45%
1	20	0.15	48.35%
0	21	0.15	56.04%
1	21	0.15	61.54%
0	22	0.15	51.65%
1	22	0.15	47.25%
0	23	0.15	56.04%
1	23	0.15	46.15%
0	24	0.15	53.85%
1	24	0.15	52.75%
0	8	0.1	60.44%
1	8	0.1	56.04%
0	9	0.1	63.74%
1	9	0.1	59.34%
0	10	0.1	61.54%
1	10	0.1	54.95%
0	11	0.1	57.14%
1	11	0.1	60.44%
0	12	0.1	52.75%
1	12	0.1	59.34%
0	13	0.1	61.54%
1	13	0.1	63.74%
0	14	0.1	53.85%
1	14	0.1	48.35%
0	15	0.1	58.24%
1	15	0.1	50.55%
0	16	0.1	56.04%
1	16	0.1	57.14%
0	17	0.1	59.34%
1	17	0.1	61.54%
0	18	0.1	60.44%
1	18	0.1	53.85%
0	19	0.1	56.04%
1	19	0.1	59.34%
0	20	0.1	52.75%
1	20	0.1	51.65%
0	21	0.1	62.64%
1	21	0.1	62.64%
0	22	0.1	53.85%
1	22	0.1	57.14%
0	23	0.1	58.24%
1	23	0.1	59.34%
0	24	0.1	53.85%
1	24	0.1	57.14%
0	8	0.05	54.95%
1	8	0.05	60.44%
0	9	0.05	62.64%
1	9	0.05	58.24%
0	10	0.05	57.14%
1	10	0.05	57.14%
0	11	0.05	62.64%
1	11	0.05	63.74%
0	12	0.05	62.64%
1	12	0.05	57.14%
0	13	0.05	56.04%
1	13	0.05	59.34%
0	14	0.05	58.24%
1	14	0.05	62.64%
0	15	0.05	54.95%
1	15	0.05	53.85%
0	16	0.05	64.84%
1	16	0.05	53.85%
0	17	0.05	60.44%
1	17	0.05	63.74%
0	18	0.05	62.64%
1	18	0.05	51.65%
0	19	0.05	59.34%
1	19	0.05	53.85%
0	20	0.05	54.95%
1	20	0.05	54.95%
0	21	0.05	62.64%
1	21	0.05	54.95%
0	22	0.05	60.44%
1	22	0.05	61.54%
0	23	0.05	53.85%
1	23	0.05	56.04%
0	24	0.05	68.13%
1	24	0.05	61.54%

